../results/qa194_shuffle-000-01.csv,../results/qa194_shuffle-000-02.csv,avg
4527.533512000013,4578.111400000016,4552.822456000014
4527.533512000013,4578.111400000016,4552.822456000014
4527.533512000013,4578.111400000016,4552.822456000014
4527.533512000013,4578.111400000016,4552.822456000014
4527.533512000013,4578.111400000016,4552.822456000014
4527.533512000013,4578.111400000016,4552.822456000014
4527.533512000013,4578.111400000016,4552.822456000014
4527.533512000013,4578.111400000016,4552.822456000014
4527.533512000013,4578.111400000016,4552.822456000014
4527.533512000013,4558.911392000015,4543.2224520000145
4527.533512000013,4558.911392000015,4543.2224520000145
4527.533512000013,4552.155832000016,4539.844672000014
4527.533512000013,4552.155832000016,4539.844672000014
4527.533512000013,4552.155832000016,4539.844672000014
4527.533512000013,4543.400280000016,4535.4668960000145
4527.533512000013,4543.400280000016,4535.4668960000145
4527.533512000013,4543.400280000016,4535.4668960000145
4527.533512000013,4543.400280000016,4535.4668960000145
4527.533512000013,4543.400280000016,4535.4668960000145
4527.533512000013,4533.511384000015,4530.522448000014
4527.533512000013,4533.511384000015,4530.522448000014
4527.533512000013,4533.511384000015,4530.522448000014
4527.533512000013,4533.511384000015,4530.522448000014
4527.533512000013,4533.511384000015,4530.522448000014
4527.533512000013,4533.511384000015,4530.522448000014
4526.911304000014,4533.511384000015,4530.211344000014
4526.911304000014,4533.511384000015,4530.211344000014
4526.911304000014,4533.511384000015,4530.211344000014
4526.911304000014,4528.533600000015,4527.7224520000145
4526.911304000014,4511.333608000016,4519.1224560000155
4526.911304000014,4503.889152000017,4515.400228000015
4526.911304000014,4503.889152000017,4515.400228000015
4526.911304000014,4503.889152000017,4515.400228000015
4526.911304000014,4503.889152000017,4515.400228000015
4526.911304000014,4503.889152000017,4515.400228000015
4526.911304000014,4501.666912000016,4514.289108000015
4526.911304000014,4501.666912000016,4514.289108000015
4523.689080000015,4501.666912000016,4512.677996000015
4523.689080000015,4501.666912000016,4512.677996000015
4523.689080000015,4501.666912000016,4512.677996000015
4523.689080000015,4501.666912000016,4512.677996000015
4523.689080000015,4501.666912000016,4512.677996000015
4523.689080000015,4501.666912000016,4512.677996000015
4523.689080000015,4501.666912000016,4512.677996000015
4523.689080000015,4501.666912000016,4512.677996000015
4523.689080000015,4501.666912000016,4512.677996000015
4523.689080000015,4501.666912000016,4512.677996000015
4523.689080000015,4501.666912000016,4512.677996000015
4523.689080000015,4500.711344000016,4512.200212000015
4523.689080000015,4497.000224000015,4510.344652000014
4523.689080000015,4497.000224000015,4510.344652000014
4523.689080000015,4497.000224000015,4510.344652000014
4523.689080000015,4496.978000000015,4510.333540000014
4523.689080000015,4496.978000000015,4510.333540000014
4523.689080000015,4496.978000000015,4510.333540000014
4523.689080000015,4496.978000000015,4510.333540000014
4523.689080000015,4496.978000000015,4510.333540000014
4523.689080000015,4496.978000000015,4510.333540000014
4523.689080000015,4496.978000000015,4510.333540000014
4523.689080000015,4496.978000000015,4510.333540000014
4523.689080000015,4496.978000000015,4510.333540000014
4523.689080000015,4496.978000000015,4510.333540000014
4523.689080000015,4496.978000000015,4510.333540000014
4523.689080000015,4496.978000000015,4510.333540000014
4523.689080000015,4496.666880000013,4510.177980000014
4523.689080000015,4496.666880000013,4510.177980000014
4523.689080000015,4494.777976000013,4509.233528000013
4523.689080000015,4494.777976000013,4509.233528000013
4521.977976000015,4494.777976000013,4508.377976000014
4521.977976000015,4494.777976000013,4508.377976000014
4521.977976000015,4494.777976000013,4508.377976000014
4521.977976000015,4494.777976000013,4508.377976000014
4521.977976000015,4494.777976000013,4508.377976000014
4521.977976000015,4494.777976000013,4508.377976000014
4520.244632000014,4494.777976000013,4507.511304000013
4508.266856000016,4494.777976000013,4501.522416000014
4508.266856000016,4494.777976000013,4501.522416000014
4508.266856000016,4494.777976000013,4501.522416000014
4508.266856000016,4494.777976000013,4501.522416000014
4508.266856000016,4494.777976000013,4501.522416000014
4508.266856000016,4494.777976000013,4501.522416000014
4508.266856000016,4494.400208000015,4501.333532000015
4508.266856000016,4494.400208000015,4501.333532000015
4508.266856000016,4494.400208000015,4501.333532000015
4508.266856000016,4494.400208000015,4501.333532000015
4508.266856000016,4494.400208000015,4501.333532000015
4508.266856000016,4494.400208000015,4501.333532000015
4508.266856000016,4494.400208000015,4501.333532000015
4508.266856000016,4494.400208000015,4501.333532000015
4508.266856000016,4494.400208000015,4501.333532000015
4508.266856000016,4494.400208000015,4501.333532000015
