../results/qa194_reverse-2-01.csv,../results/qa194_reverse-2-02.csv,avg
4882.955888000016,5039.311376000012,4961.133632000014
4882.955888000016,5039.311376000012,4961.133632000014
4882.955888000016,5039.311376000012,4961.133632000014
4882.955888000016,5038.244704000012,4960.600296000013
4882.955888000016,5038.244704000012,4960.600296000013
4882.955888000016,5030.489136000011,4956.722512000013
4882.955888000016,5022.000248000011,4952.478068000013
4882.955888000016,5022.000248000011,4952.478068000013
4882.955888000016,5022.000248000011,4952.478068000013
4874.311440000016,5019.555800000011,4946.933620000013
4874.311440000016,5002.7335920000105,4938.522516000014
4874.311440000016,5002.7335920000105,4938.522516000014
4870.022544000016,5002.7335920000105,4936.378068000013
4870.022544000016,5002.7335920000105,4936.378068000013
4870.022544000016,5002.7335920000105,4936.378068000013
4870.022544000016,4986.0891440000105,4928.055844000013
4869.778104000015,4986.0891440000105,4927.933624000013
4869.778104000015,4986.0891440000105,4927.933624000013
4869.778104000015,4986.0891440000105,4927.933624000013
4868.578096000016,4980.51136000001,4924.5447280000135
4868.578096000016,4979.64469600001,4924.111396000013
4868.578096000016,4979.64469600001,4924.111396000013
4868.578096000016,4979.64469600001,4924.111396000013
4868.578096000016,4979.4446960000105,4924.011396000013
4866.222536000016,4978.3113600000115,4922.266948000013
4863.3558800000155,4978.3113600000115,4920.833620000014
4863.3558800000155,4978.3113600000115,4920.833620000014
4863.3558800000155,4978.3113600000115,4920.833620000014
4863.3558800000155,4978.3113600000115,4920.833620000014
4851.689208000015,4978.3113600000115,4915.000284000013
4838.666984000016,4978.3113600000115,4908.489172000014
4838.666984000016,4978.3113600000115,4908.489172000014
4837.555872000015,4971.444696000011,4904.500284000013
4837.555872000015,4971.444696000011,4904.500284000013
4837.555872000015,4969.622472000012,4903.589172000014
4837.555872000015,4969.622472000012,4903.589172000014
4830.066976000015,4968.8002240000105,4899.433600000013
4830.066976000015,4968.8002240000105,4899.433600000013
4830.066976000015,4968.8002240000105,4899.433600000013
4830.066976000015,4968.8002240000105,4899.433600000013
4813.866976000015,4955.35578400001,4884.611380000013
4813.866976000015,4955.35578400001,4884.611380000013
4809.778088000015,4947.066896000011,4878.422492000012
4809.778088000015,4940.733568000011,4875.255828000012
4809.778088000015,4940.733568000011,4875.255828000012
4809.778088000015,4940.733568000011,4875.255828000012
4809.778088000015,4940.733568000011,4875.255828000012
4809.778088000015,4940.733568000011,4875.255828000012
4809.778088000015,4940.733568000011,4875.255828000012
4809.778088000015,4940.733568000011,4875.255828000012
4809.778088000015,4938.555792000011,4874.166940000013
4809.778088000015,4938.555792000011,4874.166940000013
4809.778088000015,4938.555792000011,4874.166940000013
4809.778088000015,4938.555792000011,4874.166940000013
4809.778088000015,4938.555792000011,4874.166940000013
4809.778088000015,4938.555792000011,4874.166940000013
4806.178080000014,4934.644680000012,4870.411380000013
4802.778072000015,4934.644680000012,4868.711376000014
4798.2002960000145,4934.644680000012,4866.422488000013
4798.2002960000145,4934.644680000012,4866.422488000013
4798.2002960000145,4934.644680000012,4866.422488000013
4798.2002960000145,4928.333552000012,4863.266924000013
4798.2002960000145,4928.333552000012,4863.266924000013
4798.2002960000145,4928.333552000012,4863.266924000013
4798.2002960000145,4928.333552000012,4863.266924000013
4798.2002960000145,4928.333552000012,4863.266924000013
4798.2002960000145,4923.9335360000105,4861.0669160000125
4798.2002960000145,4923.9335360000105,4861.0669160000125
4797.444736000014,4923.9335360000105,4860.689136000012
4797.444736000014,4923.9335360000105,4860.689136000012
4797.444736000014,4923.9335360000105,4860.689136000012
4797.444736000014,4923.9335360000105,4860.689136000012
4792.578080000015,4923.9335360000105,4858.255808000013
4765.755864000016,4923.9335360000105,4844.844700000013
4745.978080000016,4923.9335360000105,4834.955808000013
4738.311416000015,4923.9335360000105,4831.122476000013
4738.311416000015,4920.31131200001,4829.311364000012
4738.311416000015,4920.31131200001,4829.311364000012
4738.311416000015,4920.31131200001,4829.311364000012
4736.289184000016,4920.31131200001,4828.300248000012
4736.289184000016,4920.31131200001,4828.300248000012
4736.289184000016,4920.31131200001,4828.300248000012
4736.289184000016,4914.889096000011,4825.589140000013
4733.0002960000165,4914.889096000011,4823.944696000013
4731.778080000016,4914.889096000011,4823.333588000014
4731.778080000016,4914.889096000011,4823.333588000014
4731.778080000016,4914.889096000011,4823.333588000014
4731.778080000016,4914.889096000011,4823.333588000014
4731.778080000016,4911.71131200001,4821.744696000013
4731.778080000016,4911.71131200001,4821.744696000013
4731.778080000016,4911.71131200001,4821.744696000013
4731.778080000016,4911.71131200001,4821.744696000013
4731.778080000016,4911.71131200001,4821.744696000013
4731.778080000016,4907.955752000011,4819.866916000014
4731.244744000017,4907.955752000011,4819.600248000013
4731.244744000017,4906.26686400001,4818.755804000013
4731.244744000017,4905.13354400001,4818.189144000014
4731.244744000017,4899.55577600001,4815.400260000013
4731.244744000017,4899.55577600001,4815.400260000013
4731.244744000017,4899.55577600001,4815.400260000013
4731.244744000017,4891.444664000011,4811.344704000014
4731.244744000017,4891.444664000011,4811.344704000014
4731.244744000017,4889.20021600001,4810.222480000013
4731.244744000017,4886.33353600001,4808.7891400000135
4731.244744000017,4886.17797600001,4808.711360000014
4731.244744000017,4884.08908800001,4807.666916000013
4731.244744000017,4884.08908800001,4807.666916000013
4731.244744000017,4884.08908800001,4807.666916000013
4731.244744000017,4884.08908800001,4807.666916000013
4731.244744000017,4884.08908800001,4807.666916000013
4730.200304000016,4884.08908800001,4807.144696000013
4730.200304000016,4884.08908800001,4807.144696000013
4727.955856000017,4884.08908800001,4806.022472000013
4727.955856000017,4884.08908800001,4806.022472000013
4727.955856000017,4884.08908800001,4806.022472000013
4727.955856000017,4884.08908800001,4806.022472000013
4727.955856000017,4884.08908800001,4806.022472000013
4727.955856000017,4884.08908800001,4806.022472000013
4727.955856000017,4884.08908800001,4806.022472000013
4727.955856000017,4884.08908800001,4806.022472000013
4727.955856000017,4873.08908000001,4800.522468000014
4727.955856000017,4871.489072000009,4799.722464000013
4727.955856000017,4871.489072000009,4799.722464000013
4727.955856000017,4871.489072000009,4799.722464000013
4727.955856000017,4871.489072000009,4799.722464000013
4727.955856000017,4855.622408000009,4791.789132000013
4727.955856000017,4855.622408000009,4791.789132000013
4727.955856000017,4855.622408000009,4791.789132000013
4727.955856000017,4855.622408000009,4791.789132000013
4727.955856000017,4855.622408000009,4791.789132000013
4727.955856000017,4855.622408000009,4791.789132000013
4727.955856000017,4855.622408000009,4791.789132000013
4727.955856000017,4855.622408000009,4791.789132000013
