../results/qa194_exp_rank_swap-01.csv,../results/qa194_exp_rank_swap-02.csv,avg
4962.378040000009,5047.133536000011,5004.7557880000095
4946.111384000009,5047.133536000011,4996.62246000001
4946.111384000009,5036.333552000011,4991.22246800001
4943.711392000009,5036.333552000011,4990.02247200001
4943.00028000001,5036.333552000011,4989.666916000011
4943.00028000001,5036.333552000011,4989.666916000011
4943.00028000001,5036.333552000011,4989.666916000011
4939.0224960000105,5027.444656000011,4983.2335760000105
4936.466960000011,4996.266896000013,4966.366928000012
4930.933632000011,4992.622464000012,4961.778048000011
4930.933632000011,4992.222464000012,4961.578048000012
4929.733632000012,4992.222464000012,4960.978048000012
4929.733632000012,4992.222464000012,4960.978048000012
4929.378072000011,4992.222464000012,4960.800268000012
4908.933624000011,4992.222464000012,4950.578044000012
4908.933624000011,4992.222464000012,4950.578044000012
4908.933624000011,4992.222464000012,4950.578044000012
4908.933624000011,4992.222464000012,4950.578044000012
4876.866976000011,4980.644680000012,4928.755828000012
4849.28919200001,4980.644680000012,4914.966936000012
4841.6003040000105,4977.289128000013,4909.444716000012
4840.289184000011,4967.911344000013,4904.1002640000115
4840.289184000011,4967.911344000013,4904.1002640000115
4840.289184000011,4967.911344000013,4904.1002640000115
4840.289184000011,4967.911344000013,4904.1002640000115
4839.778080000011,4967.911344000013,4903.844712000012
4832.689176000012,4966.2446720000125,4899.466924000012
4832.689176000012,4953.800224000012,4893.244700000012
4832.689176000012,4953.800224000012,4893.244700000012
4832.689176000012,4915.244664000013,4873.966920000012
4832.689176000012,4903.533560000013,4868.111368000013
4832.689176000012,4902.2446720000125,4867.466924000012
4832.689176000012,4892.200224000013,4862.444700000013
4810.800272000011,4892.200224000013,4851.500248000012
4801.355824000011,4889.044672000013,4845.200248000012
4794.222496000011,4889.044672000013,4841.633584000012
4794.222496000011,4888.778008000012,4841.500252000012
4782.266952000012,4886.822464000013,4834.544708000012
4781.644728000013,4886.822464000013,4834.233596000013
4781.644728000013,4885.200240000013,4833.422484000013
4781.644728000013,4877.666920000012,4829.655824000012
4781.644728000013,4874.222472000012,4827.933600000013
4781.644728000013,4874.222472000012,4827.933600000013
4781.4002560000135,4874.222472000012,4827.811364000013
4777.466936000013,4874.222472000012,4825.844704000013
4777.466936000013,4874.222472000012,4825.844704000013
4777.466936000013,4873.5336000000125,4825.5002680000125
4772.733592000013,4873.5336000000125,4823.133596000012
4772.733592000013,4873.5336000000125,4823.133596000012
4772.733592000013,4870.444712000013,4821.589152000013
4772.733592000013,4847.4002640000135,4810.066928000013
4772.733592000013,4847.4002640000135,4810.066928000013
4772.733592000013,4847.4002640000135,4810.066928000013
4770.511384000014,4847.4002640000135,4808.955824000013
4762.2669440000145,4845.622480000013,4803.944712000013
4762.2669440000145,4845.622480000013,4803.944712000013
4762.2669440000145,4845.622480000013,4803.944712000013
4762.2669440000145,4845.622480000013,4803.944712000013
4762.2669440000145,4845.622480000013,4803.944712000013
4762.2669440000145,4837.2446960000125,4799.755820000013
4762.2669440000145,4837.2446960000125,4799.755820000013
4762.2669440000145,4837.2446960000125,4799.755820000013
4762.2669440000145,4837.2446960000125,4799.755820000013
4762.2669440000145,4837.2446960000125,4799.755820000013
4762.2669440000145,4837.2446960000125,4799.755820000013
4762.2669440000145,4837.2446960000125,4799.755820000013
4762.2669440000145,4837.2446960000125,4799.755820000013
4762.2669440000145,4837.2446960000125,4799.755820000013
4762.2669440000145,4837.2446960000125,4799.755820000013
4762.2669440000145,4837.2446960000125,4799.755820000013
4762.2669440000145,4826.733600000012,4794.500272000014
4762.2669440000145,4826.733600000012,4794.500272000014
4762.2669440000145,4826.733600000012,4794.500272000014
4750.689168000014,4826.733600000012,4788.711384000013
4750.689168000014,4826.733600000012,4788.711384000013
4750.689168000014,4826.733600000012,4788.711384000013
4748.400288000015,4787.844704000013,4768.1224960000145
4748.400288000015,4787.844704000013,4768.1224960000145
4748.400288000015,4784.955824000014,4766.678056000015
4748.400288000015,4784.955824000014,4766.678056000015
4748.400288000015,4780.844696000013,4764.622492000014
4748.400288000015,4780.844696000013,4764.622492000014
4748.400288000015,4780.844696000013,4764.622492000014
4748.400288000015,4780.844696000013,4764.622492000014
4748.400288000015,4780.844696000013,4764.622492000014
4748.400288000015,4780.844696000013,4764.622492000014
4748.400288000015,4780.844696000013,4764.622492000014
4748.400288000015,4765.644704000014,4757.022496000014
4748.400288000015,4765.644704000014,4757.022496000014
