../results/wi29_swap-1-01.csv,../results/wi29_swap-1-02.csv,avg
41797.91122400001,41619.02238400001,41708.46680400001
41797.91122400001,41619.02238400001,41708.46680400001
41797.91122400001,41619.02238400001,41708.46680400001
41797.91122400001,41619.02238400001,41708.46680400001
41797.91122400001,41619.02238400001,41708.46680400001
41797.91122400001,41619.02238400001,41708.46680400001
41797.91122400001,41619.02238400001,41708.46680400001
41713.489,41619.02238400001,41666.255692000006
41713.489,41619.02238400001,41666.255692000006
41713.489,41619.02238400001,41666.255692000006
41713.489,41619.02238400001,41666.255692000006
41713.489,41619.02238400001,41666.255692000006
41713.489,41619.02238400001,41666.255692000006
41713.489,41619.02238400001,41666.255692000006
41713.489,41619.02238400001,41666.255692000006
41713.489,41619.02238400001,41666.255692000006
41713.489,41619.02238400001,41666.255692000006
41713.489,41619.02238400001,41666.255692000006
41713.489,41619.02238400001,41666.255692000006
41713.489,41619.02238400001,41666.255692000006
41713.489,41619.02238400001,41666.255692000006
41713.489,41619.02238400001,41666.255692000006
41713.489,41619.02238400001,41666.255692000006
41713.489,41619.02238400001,41666.255692000006
41713.489,41619.02238400001,41666.255692000006
41713.489,41576.00014400001,41644.74457200001
41713.489,41576.00014400001,41644.74457200001
41713.489,41576.00014400001,41644.74457200001
41713.489,41576.00014400001,41644.74457200001
41694.444544000005,41576.00014400001,41635.22234400001
41694.444544000005,41561.00014400001,41627.72234400001
41681.311208,41561.00014400001,41621.15567600001
41681.311208,41457.00014400001,41569.15567600001
41681.311208,41402.80016000001,41542.055684000006
41681.311208,41402.80016000001,41542.055684000006
41681.311208,41402.80016000001,41542.055684000006
41555.755648000006,41402.80016000001,41479.27790400001
41555.755648000006,41402.80016000001,41479.27790400001
41555.755648000006,41402.80016000001,41479.27790400001
41555.755648000006,41402.80016000001,41479.27790400001
41530.800104,41402.80016000001,41466.800132000004
41530.800104,41402.80016000001,41466.800132000004
41530.800104,41402.80016000001,41466.800132000004
41530.800104,41369.06682400001,41449.933464
41530.800104,41226.733488000005,41378.766796
41530.800104,41198.733488000005,41364.766796
41530.800104,41198.733488000005,41364.766796
41530.800104,41198.733488000005,41364.766796
41530.800104,41198.733488000005,41364.766796
41530.800104,41198.733488000005,41364.766796
41530.800104,41198.733488000005,41364.766796
41530.800104,41198.733488000005,41364.766796
41530.800104,41198.733488000005,41364.766796
41530.800104,41198.733488000005,41364.766796
41530.800104,41198.733488000005,41364.766796
41530.800104,41198.733488000005,41364.766796
41530.800104,41198.733488000005,41364.766796
41530.800104,41198.733488000005,41364.766796
41530.800104,41198.733488000005,41364.766796
41530.800104,41198.733488000005,41364.766796
41530.800104,41198.733488000005,41364.766796
41530.800104,41198.733488000005,41364.766796
41530.800104,41198.733488000005,41364.766796
41530.800104,41198.733488000005,41364.766796
41530.800104,41198.733488000005,41364.766796
41530.800104,41198.733488000005,41364.766796
41530.800104,41198.733488000005,41364.766796
41530.800104,41198.733488000005,41364.766796
41530.800104,41198.733488000005,41364.766796
41530.800104,41198.733488000005,41364.766796
41530.800104,41198.733488000005,41364.766796
41530.800104,41198.733488000005,41364.766796
41530.800104,41198.733488000005,41364.766796
41530.800104,41187.46682400001,41359.133464000006
41400.977880000006,41187.46682400001,41294.22235200001
41400.977880000006,41187.46682400001,41294.22235200001
41400.977880000006,41160.64460800001,41280.81124400001
41400.977880000006,41160.64460800001,41280.81124400001
41400.977880000006,41160.64460800001,41280.81124400001
41400.977880000006,41160.64460800001,41280.81124400001
41400.977880000006,41160.64460800001,41280.81124400001
41294.68899200001,41160.64460800001,41227.666800000006
41294.68899200001,41112.06682400001,41203.37790800001
41294.68899200001,41112.06682400001,41203.37790800001
41294.68899200001,41112.06682400001,41203.37790800001
41294.68899200001,41112.06682400001,41203.37790800001
41222.55565600001,41112.06682400001,41167.31124000001
41222.55565600001,41112.06682400001,41167.31124000001
41222.55565600001,41112.06682400001,41167.31124000001
41222.55565600001,41112.06682400001,41167.31124000001
41222.55565600001,41112.06682400001,41167.31124000001
41218.20010400001,41112.06682400001,41165.13346400001
41218.20010400001,41112.06682400001,41165.13346400001
41218.20010400001,41112.06682400001,41165.13346400001
41218.20010400001,41093.82237600001,41156.01124000001
41218.20010400001,41093.82237600001,41156.01124000001
41218.20010400001,41093.82237600001,41156.01124000001
41218.20010400001,41093.82237600001,41156.01124000001
41218.20010400001,41093.82237600001,41156.01124000001
41218.20010400001,41093.82237600001,41156.01124000001
41218.20010400001,41093.82237600001,41156.01124000001
41218.20010400001,41093.82237600001,41156.01124000001
41218.20010400001,41093.82237600001,41156.01124000001
41218.20010400001,41093.82237600001,41156.01124000001
41218.20010400001,41093.82237600001,41156.01124000001
41218.20010400001,41093.82237600001,41156.01124000001
41218.20010400001,41093.82237600001,41156.01124000001
41218.20010400001,41093.82237600001,41156.01124000001
41204.08900000001,41093.82237600001,41148.95568800001
41204.08900000001,41093.82237600001,41148.95568800001
41204.08900000001,41093.82237600001,41148.95568800001
41204.08900000001,41093.82237600001,41148.95568800001
41204.08900000001,41093.82237600001,41148.95568800001
41204.08900000001,41093.82237600001,41148.95568800001
41204.08900000001,41093.82237600001,41148.95568800001
41204.08900000001,41093.82237600001,41148.95568800001
41204.08900000001,41093.82237600001,41148.95568800001
41185.977896000004,41093.82237600001,41139.90013600001
41185.977896000004,41093.82237600001,41139.90013600001
41136.64456000001,41093.82237600001,41115.233468000006
41136.64456000001,41093.82237600001,41115.233468000006
41136.64456000001,41093.82237600001,41115.233468000006
41136.64456000001,41093.82237600001,41115.233468000006
41136.64456000001,41093.82237600001,41115.233468000006
41136.64456000001,41093.82237600001,41115.233468000006
41136.64456000001,41093.82237600001,41115.233468000006
41136.64456000001,41093.82237600001,41115.233468000006
41136.64456000001,41093.82237600001,41115.233468000006
41056.333448000005,41093.82237600001,41075.07791200001
41056.333448000005,41093.82237600001,41075.07791200001
41056.333448000005,41093.82237600001,41075.07791200001
41056.333448000005,41093.82237600001,41075.07791200001
41056.333448000005,41093.82237600001,41075.07791200001
41056.333448000005,41093.82237600001,41075.07791200001
41056.333448000005,41093.82237600001,41075.07791200001
41056.333448000005,41093.82237600001,41075.07791200001
41056.333448000005,41093.82237600001,41075.07791200001
41056.333448000005,41093.82237600001,41075.07791200001
41056.333448000005,41093.82237600001,41075.07791200001
41056.333448000005,41093.82237600001,41075.07791200001
41056.333448000005,41093.82237600001,41075.07791200001
41056.333448000005,41093.82237600001,41075.07791200001
41056.333448000005,41093.82237600001,41075.07791200001
41056.333448000005,41093.82237600001,41075.07791200001
41056.333448000005,41093.82237600001,41075.07791200001
41056.333448000005,41093.82237600001,41075.07791200001
41056.333448000005,41093.82237600001,41075.07791200001
40969.06678400001,41093.82237600001,41031.44458000001
40948.977896000004,41093.82237600001,41021.40013600001
40948.977896000004,41093.82237600001,41021.40013600001
40948.977896000004,41093.82237600001,41021.40013600001
40948.977896000004,41093.82237600001,41021.40013600001
40948.977896000004,41093.82237600001,41021.40013600001
40948.977896000004,41093.82237600001,41021.40013600001
40948.977896000004,41093.82237600001,41021.40013600001
40888.333448000005,41093.82237600001,40991.07791200001
40873.66678400001,41093.82237600001,40983.74458000001
40873.66678400001,41093.82237600001,40983.74458000001
40873.66678400001,41093.82237600001,40983.74458000001
40873.66678400001,41093.82237600001,40983.74458000001
40873.66678400001,41093.82237600001,40983.74458000001
40873.66678400001,41093.82237600001,40983.74458000001
40873.66678400001,41093.82237600001,40983.74458000001
40873.66678400001,41093.82237600001,40983.74458000001
40873.66678400001,41093.82237600001,40983.74458000001
40873.66678400001,41093.82237600001,40983.74458000001
40873.66678400001,41093.82237600001,40983.74458000001
40873.66678400001,41093.82237600001,40983.74458000001
40873.66678400001,41093.82237600001,40983.74458000001
40873.66678400001,41093.82237600001,40983.74458000001
40873.66678400001,41093.82237600001,40983.74458000001
40873.66678400001,41093.82237600001,40983.74458000001
40873.66678400001,41093.82237600001,40983.74458000001
40873.66678400001,41093.82237600001,40983.74458000001
40873.66678400001,41093.82237600001,40983.74458000001
40873.66678400001,41093.82237600001,40983.74458000001
40873.66678400001,41093.82237600001,40983.74458000001
40873.66678400001,41093.82237600001,40983.74458000001
40873.66678400001,41093.82237600001,40983.74458000001
