../results/qa194_exp_rank_swap3-01.csv,../results/qa194_exp_rank_swap3-02.csv,avg
4874.355832000013,4953.244736000015,4913.800284000014
4874.355832000013,4953.244736000015,4913.800284000014
4803.889192000015,4946.111384000014,4875.000288000015
4803.889192000015,4940.111392000015,4872.000292000015
4803.889192000015,4940.111392000015,4872.000292000015
4803.889192000015,4940.111392000015,4872.000292000015
4803.889192000015,4940.111392000015,4872.000292000015
4803.889192000015,4922.155816000014,4863.022504000015
4803.889192000015,4922.155816000014,4863.022504000015
4803.889192000015,4915.955808000013,4859.922500000014
4803.889192000015,4915.955808000013,4859.922500000014
4803.889192000015,4915.955808000013,4859.922500000014
4803.889192000015,4915.955808000013,4859.922500000014
4790.5558640000145,4915.955808000013,4853.255836000014
4790.5558640000145,4915.955808000013,4853.255836000014
4790.5558640000145,4915.955808000013,4853.255836000014
4789.289184000015,4915.955808000013,4852.6224960000145
4789.289184000015,4915.955808000013,4852.6224960000145
4789.289184000015,4908.289152000013,4848.789168000014
4789.289184000015,4905.711376000014,4847.500280000015
4788.644744000015,4905.711376000014,4847.178060000015
4773.978088000016,4905.711376000014,4839.844732000015
4773.489192000017,4872.222496000013,4822.855844000015
4773.489192000017,4872.222496000013,4822.855844000015
4773.489192000017,4872.222496000013,4822.855844000015
4773.489192000017,4867.289152000013,4820.389172000016
4773.489192000017,4867.289152000013,4820.389172000016
4773.489192000017,4867.289152000013,4820.389172000016
4773.489192000017,4864.933608000013,4819.211400000015
4773.489192000017,4864.933608000013,4819.211400000015
4773.489192000017,4864.933608000013,4819.211400000015
4773.489192000017,4864.933608000013,4819.211400000015
4773.489192000017,4864.933608000013,4819.211400000015
4773.489192000017,4852.955832000013,4813.222512000015
4754.822528000017,4852.955832000013,4803.889180000015
4754.3558640000165,4852.955832000013,4803.655848000015
4754.3558640000165,4852.955832000013,4803.655848000015
4754.3558640000165,4844.4002800000135,4799.378072000015
4747.444736000018,4844.4002800000135,4795.922508000016
4743.7114080000165,4844.4002800000135,4794.055844000015
4743.7114080000165,4844.4002800000135,4794.055844000015
4743.7114080000165,4844.4002800000135,4794.055844000015
4743.7114080000165,4844.4002800000135,4794.055844000015
4743.7114080000165,4839.933592000012,4791.822500000015
4743.7114080000165,4839.933592000012,4791.822500000015
4743.7114080000165,4822.866912000012,4783.289160000015
4743.7114080000165,4814.733576000012,4779.222492000014
4743.7114080000165,4814.733576000012,4779.222492000014
4743.7114080000165,4814.733576000012,4779.222492000014
4743.7114080000165,4814.733576000012,4779.222492000014
4743.7114080000165,4811.889120000012,4777.800264000014
4743.7114080000165,4811.889120000012,4777.800264000014
4743.7114080000165,4811.889120000012,4777.800264000014
4728.911408000017,4810.778008000012,4769.844708000015
4728.533648000017,4810.778008000012,4769.6558280000145
4728.533648000017,4810.778008000012,4769.6558280000145
4728.533648000017,4795.066920000012,4761.8002840000145
4728.533648000017,4795.066920000012,4761.8002840000145
4710.622520000018,4788.800248000012,4749.711384000015
4710.622520000018,4780.089128000011,4745.355824000015
4697.978072000018,4778.111352000012,4738.044712000015
4697.978072000018,4778.111352000012,4738.044712000015
4697.978072000018,4778.111352000012,4738.044712000015
4697.978072000018,4777.622472000013,4737.800272000015
4693.755856000017,4777.622472000013,4735.689164000015
4693.755856000017,4773.244720000014,4733.500288000016
4693.755856000017,4773.244720000014,4733.500288000016
4693.755856000017,4750.222496000014,4721.9891760000155
4693.755856000017,4750.222496000014,4721.9891760000155
4687.155840000018,4750.222496000014,4718.689168000015
4687.155840000018,4750.222496000014,4718.689168000015
4687.155840000018,4750.222496000014,4718.689168000015
4683.800296000017,4750.222496000014,4717.011396000015
4683.800296000017,4749.7558240000135,4716.778060000015
4683.800296000017,4748.644712000013,4716.222504000015
4683.800296000017,4748.644712000013,4716.222504000015
4683.800296000017,4748.644712000013,4716.222504000015
4683.800296000017,4748.644712000013,4716.222504000015
4682.689184000016,4726.066912000012,4704.378048000014
4682.689184000016,4726.066912000012,4704.378048000014
4682.689184000016,4726.066912000012,4704.378048000014
4682.689184000016,4726.066912000012,4704.378048000014
4682.689184000016,4726.066912000012,4704.378048000014
4682.689184000016,4726.066912000012,4704.378048000014
4682.689184000016,4726.066912000012,4704.378048000014
4682.689184000016,4726.066912000012,4704.378048000014
4682.689184000016,4726.066912000012,4704.378048000014
4682.689184000016,4726.066912000012,4704.378048000014
4664.466952000016,4726.066912000012,4695.266932000014
4664.466952000016,4726.066912000012,4695.266932000014
4664.466952000016,4726.066912000012,4695.266932000014
4664.466952000016,4710.911352000011,4687.689152000014
4664.466952000016,4710.911352000011,4687.689152000014
4664.466952000016,4710.911352000011,4687.689152000014
4664.466952000016,4710.911352000011,4687.689152000014
4664.466952000016,4710.911352000011,4687.689152000014
4664.466952000016,4708.82245600001,4686.644704000013
4664.466952000016,4708.82245600001,4686.644704000013
4664.466952000016,4708.82245600001,4686.644704000013
4660.933608000014,4697.55579200001,4679.244700000012
4660.933608000014,4697.55579200001,4679.244700000012
4660.933608000014,4697.55579200001,4679.244700000012
4660.933608000014,4697.55579200001,4679.244700000012
4660.933608000014,4697.55579200001,4679.244700000012
4660.933608000014,4697.55579200001,4679.244700000012
