../results/wi29_exp_rank_swap-01.csv,../results/wi29_exp_rank_swap-02.csv,avg
43775.800136000005,42895.333488000004,43335.566812000005
43775.800136000005,42895.333488000004,43335.566812000005
43775.800136000005,42880.755704,43328.27792000001
43775.800136000005,42880.755704,43328.27792000001
43775.800136000005,42880.755704,43328.27792000001
43775.800136000005,42880.755704,43328.27792000001
43775.800136000005,42880.755704,43328.27792000001
43775.800136000005,42880.755704,43328.27792000001
43775.800136000005,42880.755704,43328.27792000001
43775.800136000005,42880.755704,43328.27792000001
43775.800136000005,42880.755704,43328.27792000001
43775.800136000005,42880.755704,43328.27792000001
43775.800136000005,42834.46681600001,43305.133476
43775.800136000005,42834.46681600001,43305.133476
43775.800136000005,42834.46681600001,43305.133476
43775.800136000005,42834.46681600001,43305.133476
43775.800136000005,42834.46681600001,43305.133476
43775.800136000005,42817.533480000006,43296.66680800001
43775.800136000005,42817.533480000006,43296.66680800001
43775.800136000005,42817.533480000006,43296.66680800001
43775.800136000005,42817.533480000006,43296.66680800001
43700.622352,42817.533480000006,43259.077916
43700.622352,42741.26681600001,43220.944584000004
43700.622352,42741.26681600001,43220.944584000004
43700.622352,42741.26681600001,43220.944584000004
43700.622352,42741.26681600001,43220.944584000004
43700.622352,42741.26681600001,43220.944584000004
43700.622352,42741.26681600001,43220.944584000004
43700.622352,42741.26681600001,43220.944584000004
43700.622352,42741.26681600001,43220.944584000004
43700.622352,42741.26681600001,43220.944584000004
43700.622352,42741.26681600001,43220.944584000004
43700.622352,42741.26681600001,43220.944584000004
43700.622352,42741.26681600001,43220.944584000004
43694.00011200001,42741.26681600001,43217.63346400001
43694.00011200001,42741.26681600001,43217.63346400001
43694.00011200001,42741.26681600001,43217.63346400001
43694.00011200001,42741.26681600001,43217.63346400001
43694.00011200001,42741.26681600001,43217.63346400001
43694.00011200001,42741.26681600001,43217.63346400001
43694.00011200001,42741.26681600001,43217.63346400001
43694.00011200001,42741.26681600001,43217.63346400001
43694.00011200001,42741.26681600001,43217.63346400001
43694.00011200001,42741.26681600001,43217.63346400001
43694.00011200001,42646.333464,43170.166788
43694.00011200001,42646.333464,43170.166788
43694.00011200001,42622.489,43158.244556000005
43694.00011200001,42622.489,43158.244556000005
43694.00011200001,42622.489,43158.244556000005
43667.666776,42622.489,43145.077888
43662.333448,42582.53344000001,43122.433444
43649.755664,42582.53344000001,43116.144552
43649.755664,42582.53344000001,43116.144552
43649.755664,42582.53344000001,43116.144552
43649.755664,42582.53344000001,43116.144552
43649.755664,42582.53344000001,43116.144552
43649.755664,42582.53344000001,43116.144552
43649.755664,42582.53344000001,43116.144552
43561.133440000005,42582.53344000001,43071.83344
43561.133440000005,42582.53344000001,43071.83344
43486.444536,42582.53344000001,43034.488988000005
43486.444536,42582.53344000001,43034.488988000005
43486.444536,42582.53344000001,43034.488988000005
43486.444536,42582.53344000001,43034.488988000005
43486.444536,42582.53344000001,43034.488988000005
43486.444536,42582.53344000001,43034.488988000005
43486.444536,42582.53344000001,43034.488988000005
43486.444536,42582.53344000001,43034.488988000005
43486.444536,42582.53344000001,43034.488988000005
43486.444536,42582.53344000001,43034.488988000005
43486.444536,42582.53344000001,43034.488988000005
43486.444536,42582.53344000001,43034.488988000005
43486.444536,42516.311216,43001.377876
43486.444536,42404.311216,42945.377876
43486.444536,42404.311216,42945.377876
43486.444536,42404.311216,42945.377876
43486.444536,42404.311216,42945.377876
43486.444536,42404.311216,42945.377876
43483.466768000006,42404.311216,42943.88899200001
43483.466768000006,42404.311216,42943.88899200001
43453.11120800001,42404.311216,42928.71121200001
43239.777864,42404.311216,42822.04454
43239.777864,42375.577888,42807.677876
43239.777864,42375.577888,42807.677876
43239.777864,42375.577888,42807.677876
43239.777864,42375.577888,42807.677876
43239.777864,42375.577888,42807.677876
43239.777864,42375.577888,42807.677876
43213.311184,42375.577888,42794.444535999995
43213.311184,42375.577888,42794.444535999995
43213.311184,42375.577888,42794.444535999995
43213.311184,42375.577888,42794.444535999995
43213.311184,42375.577888,42794.444535999995
43213.311184,42331.311232,42772.311208
43213.311184,42331.311232,42772.311208
43213.311184,42331.311232,42772.311208
43213.311184,42331.311232,42772.311208
43199.44450400001,42331.311232,42765.377868
43199.44450400001,42331.311232,42765.377868
43199.44450400001,42331.311232,42765.377868
43199.44450400001,42331.311232,42765.377868
43199.44450400001,42331.311232,42765.377868
43199.44450400001,42331.311232,42765.377868
43199.44450400001,42331.311232,42765.377868
43199.44450400001,42331.311232,42765.377868
43193.97784,42331.311232,42762.644536
43193.97784,42331.311232,42762.644536
43193.97784,42331.311232,42762.644536
43193.97784,42331.311232,42762.644536
43193.97784,42331.311232,42762.644536
43193.97784,42331.311232,42762.644536
43193.97784,42284.48900800001,42739.233424000005
43193.97784,42255.377896000005,42724.677868
43162.200056,42255.377896000005,42708.788976
43072.800056,42255.377896000005,42664.088976
43072.800056,42255.377896000005,42664.088976
43072.800056,42246.889,42659.844528
43072.800056,42246.889,42659.844528
43072.800056,42246.889,42659.844528
43072.800056,42246.889,42659.844528
43072.800056,42240.377888,42656.588972
43072.800056,42185.86677600001,42629.33341600001
43072.800056,42185.86677600001,42629.33341600001
43072.800056,42185.86677600001,42629.33341600001
43072.800056,42147.955672000004,42610.377864
43072.800056,42092.311232,42582.555644
43072.800056,42092.311232,42582.555644
43072.800056,42092.311232,42582.555644
43072.800056,42092.311232,42582.555644
43072.800056,42092.311232,42582.555644
43072.800056,42092.311232,42582.555644
43072.800056,42092.311232,42582.555644
43065.97784,42092.311232,42579.144536
43065.97784,42092.311232,42579.144536
43059.42228,42092.311232,42575.866756
43059.42228,42092.311232,42575.866756
43059.42228,42092.311232,42575.866756
43059.42228,42092.311232,42575.866756
43059.42228,42092.311232,42575.866756
43059.42228,42092.311232,42575.866756
43059.42228,42092.311232,42575.866756
43059.42228,42092.311232,42575.866756
43059.42228,42092.311232,42575.866756
43059.42228,42092.311232,42575.866756
43059.42228,42092.311232,42575.866756
43035.95561600001,41965.80013600001,42500.87787600001
43035.95561600001,41965.80013600001,42500.87787600001
43035.95561600001,41965.80013600001,42500.87787600001
43035.95561600001,41965.80013600001,42500.87787600001
43035.95561600001,41965.80013600001,42500.87787600001
43035.95561600001,41965.80013600001,42500.87787600001
43035.95561600001,41965.80013600001,42500.87787600001
43030.888952,41965.80013600001,42498.34454400001
42984.288952,41965.80013600001,42475.044544000004
42984.288952,41965.80013600001,42475.044544000004
42984.288952,41965.80013600001,42475.044544000004
42984.288952,41948.02236800001,42466.155660000004
42984.288952,41948.02236800001,42466.155660000004
42984.288952,41948.02236800001,42466.155660000004
42984.288952,41948.02236800001,42466.155660000004
42984.288952,41743.400144000014,42363.84454800001
42984.288952,41743.400144000014,42363.84454800001
42984.288952,41743.400144000014,42363.84454800001
42981.000080000005,41743.400144000014,42362.200112000006
42945.555640000006,41743.400144000014,42344.47789200001
42945.555640000006,41743.400144000014,42344.47789200001
42945.555640000006,41743.400144000014,42344.47789200001
42945.555640000006,41743.400144000014,42344.47789200001
42945.555640000006,41743.400144000014,42344.47789200001
42945.555640000006,41743.400144000014,42344.47789200001
42945.555640000006,41743.400144000014,42344.47789200001
42945.555640000006,41743.400144000014,42344.47789200001
42883.97786399999,41743.400144000014,42313.689004
42883.97786399999,41743.400144000014,42313.689004
42883.97786399999,41743.400144000014,42313.689004
42713.888992,41743.400144000014,42228.644568
42713.888992,41743.400144000014,42228.644568
42612.06676,41743.400144000014,42177.73345200001
42612.06676,41677.44457600001,42144.755668000005
42551.511216,41677.44457600001,42114.477896000004
42381.53344,41579.60013600001,41980.566788000004
42381.53344,41561.20013600001,41971.366788
42323.711224,41476.17790400001,41899.944564000005
42323.711224,41476.17790400001,41899.944564000005
42315.40012800001,41280.444568000006,41797.92234800001
42282.222352,41280.444568000006,41781.33346
42282.222352,41210.24454400001,41746.233448
42282.222352,41210.24454400001,41746.233448
42282.222352,41210.24454400001,41746.233448
42282.222352,41210.24454400001,41746.233448
42282.222352,41210.24454400001,41746.233448
42282.222352,41210.24454400001,41746.233448
42282.222352,41210.24454400001,41746.233448
42282.222352,41210.24454400001,41746.233448
42282.222352,41210.24454400001,41746.233448
42282.222352,41210.24454400001,41746.233448
42282.222352,41210.24454400001,41746.233448
42282.222352,41210.24454400001,41746.233448
42282.222352,41210.24454400001,41746.233448
42282.222352,41210.24454400001,41746.233448
42282.222352,41210.24454400001,41746.233448
42282.222352,41210.24454400001,41746.233448
42282.222352,41210.24454400001,41746.233448
42282.222352,41182.60011200001,41732.411232
42282.222352,41182.60011200001,41732.411232
42282.222352,41182.60011200001,41732.411232
42282.222352,41182.60011200001,41732.411232
42282.222352,41182.60011200001,41732.411232
42282.222352,41182.60011200001,41732.411232
42282.222352,41182.60011200001,41732.411232
42282.222352,41182.60011200001,41732.411232
42252.400144,41182.60011200001,41717.500128
42163.000144,41182.60011200001,41672.800128
42163.000144,41182.60011200001,41672.800128
42163.000144,41182.60011200001,41672.800128
42163.000144,41182.60011200001,41672.800128
42163.000144,41182.60011200001,41672.800128
42163.000144,41182.60011200001,41672.800128
42162.289024,41182.60011200001,41672.444568000006
42162.289024,41182.60011200001,41672.444568000006
42162.289024,41182.60011200001,41672.444568000006
42162.289024,41182.60011200001,41672.444568000006
42162.289024,41182.60011200001,41672.444568000006
42162.289024,41182.60011200001,41672.444568000006
42162.289024,41182.60011200001,41672.444568000006
42162.289024,40879.28900800001,41520.789016
42162.289024,40879.28900800001,41520.789016
42162.289024,40879.28900800001,41520.789016
42162.289024,40879.28900800001,41520.789016
42162.289024,40879.28900800001,41520.789016
42162.289024,40879.28900800001,41520.789016
42162.289024,40879.28900800001,41520.789016
42162.289024,40879.28900800001,41520.789016
42162.289024,40879.28900800001,41520.789016
42162.289024,40879.28900800001,41520.789016
42162.289024,40879.28900800001,41520.789016
42162.289024,40879.28900800001,41520.789016
42162.289024,40879.28900800001,41520.789016
42125.866799999996,40879.28900800001,41502.577904000005
42125.866799999996,40879.28900800001,41502.577904000005
42125.866799999996,40879.28900800001,41502.577904000005
42125.866799999996,40879.28900800001,41502.577904000005
42125.866799999996,40879.28900800001,41502.577904000005
42124.377920000006,40879.28900800001,41501.83346400001
41921.489024,40879.28900800001,41400.389016
41812.000144000005,40879.28900800001,41345.644576000006
41812.000144000005,40879.28900800001,41345.644576000006
41812.000144000005,40879.28900800001,41345.644576000006
41797.11124800001,40879.28900800001,41338.20012800001
41797.11124800001,40879.28900800001,41338.20012800001
41797.11124800001,40879.28900800001,41338.20012800001
41797.11124800001,40879.28900800001,41338.20012800001
41797.11124800001,40879.28900800001,41338.20012800001
41797.11124800001,40879.28900800001,41338.20012800001
41797.11124800001,40879.28900800001,41338.20012800001
41797.11124800001,40879.28900800001,41338.20012800001
41797.11124800001,40879.28900800001,41338.20012800001
41797.11124800001,40879.28900800001,41338.20012800001
41797.11124800001,40879.28900800001,41338.20012800001
41797.11124800001,40879.28900800001,41338.20012800001
41797.11124800001,40879.28900800001,41338.20012800001
