../results/dj38_swap-2-01.csv,../results/dj38_swap-2-02.csv,avg
8252.311215999996,8189.133512000003,8220.722364
8252.311215999996,8189.133512000003,8220.722364
8252.311215999996,8189.133512000003,8220.722364
8252.311215999996,8164.577944000002,8208.44458
8252.311215999996,8164.577944000002,8208.44458
8252.311215999996,8164.577944000002,8208.44458
8201.689007999998,8164.577944000002,8183.133476
8201.689007999998,8164.577944000002,8183.133476
8189.644567999996,8164.577944000002,8177.111255999999
8189.644567999996,8164.577944000002,8177.111255999999
8189.644567999996,8164.577944000002,8177.111255999999
8189.644567999996,8164.577944000002,8177.111255999999
8189.644567999996,8164.577944000002,8177.111255999999
8189.644567999996,8164.577944000002,8177.111255999999
8180.355671999994,8164.577944000002,8172.466807999998
8180.355671999994,8164.577944000002,8172.466807999998
8180.355671999994,8164.577944000002,8172.466807999998
8180.355671999994,8164.577944000002,8172.466807999998
8180.355671999994,8164.577944000002,8172.466807999998
8164.1779119999965,8164.577944000002,8164.377928
8164.1779119999965,8164.577944000002,8164.377928
8163.689015999995,8164.577944000002,8164.133479999999
8153.8890319999955,8164.577944000002,8159.233487999999
8149.3112559999945,8164.577944000002,8156.944599999999
8143.200159999996,8164.577944000002,8153.889051999999
8143.200159999996,8164.577944000002,8153.889051999999
8143.200159999996,8164.577944000002,8153.889051999999
8143.200159999996,8164.577944000002,8153.889051999999
8143.200159999996,8145.555720000003,8144.377939999999
8143.200159999996,8145.555720000003,8144.377939999999
8143.200159999996,8145.555720000003,8144.377939999999
8143.200159999996,8145.555720000003,8144.377939999999
8143.200159999996,8145.555720000003,8144.377939999999
8143.200159999996,8111.911272000002,8127.555715999999
8143.200159999996,8111.911272000002,8127.555715999999
8143.200159999996,8102.044624000002,8122.622391999999
8138.800159999996,8102.044624000002,8120.422391999999
8122.444607999998,8090.355760000002,8106.400184
8122.444607999998,8090.355760000002,8106.400184
8122.444607999998,8090.355760000002,8106.400184
8122.444607999998,8090.355760000002,8106.400184
8085.533495999998,8090.355760000002,8087.944628
8085.533495999998,8090.355760000002,8087.944628
8085.533495999998,8090.355760000002,8087.944628
8085.533495999998,8090.355760000002,8087.944628
8085.533495999998,8079.422424000003,8082.47796
8085.533495999998,8079.422424000003,8082.47796
8085.533495999998,8079.422424000003,8082.47796
8085.533495999998,8065.777976000003,8075.655736000001
8085.533495999998,8050.133536000003,8067.833516000001
8085.533495999998,8050.133536000003,8067.833516000001
8052.533503999996,8050.133536000003,8051.33352
8052.533503999996,8050.133536000003,8051.33352
8052.533503999996,8050.133536000003,8051.33352
8052.533503999996,8050.133536000003,8051.33352
8052.533503999996,8050.133536000003,8051.33352
8032.177959999996,8050.133536000003,8041.155747999999
8032.177959999996,8050.133536000003,8041.155747999999
8032.177959999996,8050.133536000003,8041.155747999999
8032.177959999996,8050.133536000003,8041.155747999999
8032.177959999996,8050.133536000003,8041.155747999999
8032.177959999996,8050.133536000003,8041.155747999999
8023.933535999998,8050.133536000003,8037.033536000001
8023.933535999998,8050.133536000003,8037.033536000001
8023.933535999998,8050.133536000003,8037.033536000001
8023.933535999998,8026.155728000002,8025.044631999999
8023.933535999998,8026.155728000002,8025.044631999999
8023.933535999998,8026.155728000002,8025.044631999999
8023.933535999998,8026.155728000002,8025.044631999999
8023.933535999998,8026.155728000002,8025.044631999999
8023.933535999998,8026.155728000002,8025.044631999999
8023.933535999998,8026.155728000002,8025.044631999999
8023.933535999998,8026.155728000002,8025.044631999999
8023.933535999998,8026.155728000002,8025.044631999999
8023.933535999998,8026.155728000002,8025.044631999999
8023.933535999998,8026.155728000002,8025.044631999999
8023.933535999998,8026.155728000002,8025.044631999999
8023.933535999998,8026.155728000002,8025.044631999999
8022.889095999999,8016.089040000003,8019.489068000001
8022.889095999999,8016.089040000003,8019.489068000001
8022.889095999999,8016.089040000003,8019.489068000001
8022.889095999999,8016.089040000003,8019.489068000001
