../results/wi29_mutator-002-01.csv,../results/wi29_mutator-002-02.csv,avg
42893.133512,43793.911296000006,43343.522404
42893.133512,43793.911296000006,43343.522404
42893.133512,43793.911296000006,43343.522404
42817.48908,43793.911296000006,43305.700188
42810.644616,43793.911296000006,43302.277956000005
42810.644616,43793.911296000006,43302.277956000005
42810.644616,43793.911296000006,43302.277956000005
42810.644616,43793.911296000006,43302.277956000005
42714.777952000004,43793.911296000006,43254.344624000005
42714.777952000004,43793.911296000006,43254.344624000005
42714.777952000004,43793.911296000006,43254.344624000005
42714.777952000004,43793.911296000006,43254.344624000005
42714.777952000004,43777.911296000006,43246.344624000005
42714.777952000004,43643.244640000004,43179.011296000004
42714.777952000004,43643.244640000004,43179.011296000004
42714.777952000004,43643.244640000004,43179.011296000004
42714.777952000004,43643.244640000004,43179.011296000004
42714.777952000004,43643.244640000004,43179.011296000004
42714.777952000004,43643.244640000004,43179.011296000004
42714.777952000004,43643.244640000004,43179.011296000004
42714.777952000004,43643.244640000004,43179.011296000004
42714.777952000004,43643.244640000004,43179.011296000004
42700.377952,43571.377984000006,43135.877968
42700.377952,43425.95576800001,43063.166860000005
42700.377952,43425.95576800001,43063.166860000005
42700.377952,43425.95576800001,43063.166860000005
42700.377952,43425.95576800001,43063.166860000005
42700.377952,43425.95576800001,43063.166860000005
42700.377952,43425.95576800001,43063.166860000005
42597.622392000005,43425.95576800001,43011.78908
42405.889072000005,43425.95576800001,42915.92242
42405.889072000005,43425.95576800001,42915.92242
42405.889072000005,43425.95576800001,42915.92242
42405.889072000005,43425.95576800001,42915.92242
42405.889072000005,43425.95576800001,42915.92242
42405.889072000005,43425.95576800001,42915.92242
42405.889072000005,43425.95576800001,42915.92242
42405.889072000005,43425.95576800001,42915.92242
42405.889072000005,43144.733512000006,42775.311292000006
42405.889072000005,43144.733512000006,42775.311292000006
42405.889072000005,43144.733512000006,42775.311292000006
42405.889072000005,43144.733512000006,42775.311292000006
42405.889072000005,43144.733512000006,42775.311292000006
42405.889072000005,43144.733512000006,42775.311292000006
42405.889072000005,43144.733512000006,42775.311292000006
42405.889072000005,43144.733512000006,42775.311292000006
42405.889072000005,43144.733512000006,42775.311292000006
42405.889072000005,43144.733512000006,42775.311292000006
42405.889072000005,42766.955728,42586.4224
42405.889072000005,42766.955728,42586.4224
42405.889072000005,42766.955728,42586.4224
42405.889072000005,42766.955728,42586.4224
42405.889072000005,42760.866824000004,42583.37794800001
42405.889072000005,42690.02236,42547.955716000004
42405.889072000005,42644.644576000006,42525.266824000006
42405.889072000005,42644.644576000006,42525.266824000006
42405.889072000005,42644.644576000006,42525.266824000006
42371.911296000006,42644.644576000006,42508.277936000006
42329.48908000001,42644.644576000006,42487.06682800001
42313.31129600001,42644.644576000006,42478.97793600001
42100.04464000001,42644.644576000006,42372.34460800001
42100.04464000001,42630.155696,42365.100168000004
42100.04464000001,42630.155696,42365.100168000004
42100.04464000001,42630.155696,42365.100168000004
42100.04464000001,42630.155696,42365.100168000004
42100.04464000001,42630.155696,42365.100168000004
42100.04464000001,42630.155696,42365.100168000004
42100.04464000001,42630.155696,42365.100168000004
42100.04464000001,42630.155696,42365.100168000004
42100.04464000001,42630.155696,42365.100168000004
42100.04464000001,42630.155696,42365.100168000004
42100.04464000001,42630.155696,42365.100168000004
42095.933528,42630.155696,42363.044612
42095.933528,42630.155696,42363.044612
42095.933528,42630.155696,42363.044612
42095.933528,42630.155696,42363.044612
42095.933528,42516.200136,42306.066832
42095.933528,42516.200136,42306.066832
41979.31130400001,42516.200136,42247.75572
41979.31130400001,42516.200136,42247.75572
41979.31130400001,42516.200136,42247.75572
41979.31130400001,42516.200136,42247.75572
41979.31130400001,42516.200136,42247.75572
41979.31130400001,42516.200136,42247.75572
41979.31130400001,42516.200136,42247.75572
41979.31130400001,42516.200136,42247.75572
41979.31130400001,42516.200136,42247.75572
41840.02242400001,42516.200136,42178.111280000005
41840.02242400001,42516.200136,42178.111280000005
41840.02242400001,42516.200136,42178.111280000005
41840.02242400001,42516.200136,42178.111280000005
41840.02242400001,42516.200136,42178.111280000005
41840.02242400001,42516.200136,42178.111280000005
41840.02242400001,42458.422368,42149.222396000005
41840.02242400001,42458.422368,42149.222396000005
41840.02242400001,42458.422368,42149.222396000005
41788.089088,42458.422368,42123.255728000004
41788.089088,42458.422368,42123.255728000004
41788.089088,42458.422368,42123.255728000004
41788.089088,42458.422368,42123.255728000004
41788.089088,42341.86681600001,42064.977952
41788.089088,42341.86681600001,42064.977952
41788.089088,42341.86681600001,42064.977952
41788.089088,42341.86681600001,42064.977952
41788.089088,42341.86681600001,42064.977952
41788.089088,42341.86681600001,42064.977952
41788.089088,42341.86681600001,42064.977952
41788.089088,42341.86681600001,42064.977952
41788.089088,42341.86681600001,42064.977952
41788.089088,42341.86681600001,42064.977952
41788.089088,42341.86681600001,42064.977952
41788.089088,42341.86681600001,42064.977952
41788.089088,42341.86681600001,42064.977952
41788.089088,42341.86681600001,42064.977952
41788.089088,42341.86681600001,42064.977952
41788.089088,42341.86681600001,42064.977952
41768.800192,42341.86681600001,42055.33350400001
41584.355744,42341.86681600001,41963.111280000005
41584.355744,42341.86681600001,41963.111280000005
41584.355744,42341.86681600001,41963.111280000005
41584.355744,42341.86681600001,41963.111280000005
41584.355744,42341.86681600001,41963.111280000005
41584.355744,42341.86681600001,41963.111280000005
41584.355744,42341.86681600001,41963.111280000005
41584.355744,42341.86681600001,41963.111280000005
41584.355744,42341.86681600001,41963.111280000005
41584.355744,42341.86681600001,41963.111280000005
41584.355744,42341.86681600001,41963.111280000005
41584.355744,42341.86681600001,41963.111280000005
41584.355744,42341.86681600001,41963.111280000005
41584.355744,42341.86681600001,41963.111280000005
41584.355744,42341.86681600001,41963.111280000005
41584.355744,42341.86681600001,41963.111280000005
41584.355744,42341.86681600001,41963.111280000005
41584.355744,42341.86681600001,41963.111280000005
41584.355744,42341.86681600001,41963.111280000005
41508.089080000005,42259.46680000001,41883.77794000001
41508.089080000005,42259.46680000001,41883.77794000001
41508.089080000005,42188.80014400001,41848.44461200001
41508.089080000005,42188.80014400001,41848.44461200001
41508.089080000005,42188.80014400001,41848.44461200001
41508.089080000005,42188.80014400001,41848.44461200001
41508.089080000005,42188.80014400001,41848.44461200001
41508.089080000005,42188.80014400001,41848.44461200001
41508.089080000005,42188.80014400001,41848.44461200001
41508.089080000005,42188.80014400001,41848.44461200001
41508.089080000005,42188.80014400001,41848.44461200001
41508.089080000005,42188.80014400001,41848.44461200001
41508.089080000005,42188.80014400001,41848.44461200001
41508.089080000005,42188.80014400001,41848.44461200001
41508.089080000005,42188.80014400001,41848.44461200001
41350.755744,42188.80014400001,41769.777944
41350.755744,42188.80014400001,41769.777944
41350.755744,42188.80014400001,41769.777944
41350.755744,42188.80014400001,41769.777944
41303.88908,42188.80014400001,41746.344612
41303.88908,42188.80014400001,41746.344612
41303.88908,42188.80014400001,41746.344612
41303.88908,42188.80014400001,41746.344612
41303.88908,42188.80014400001,41746.344612
41303.88908,42188.80014400001,41746.344612
41303.88908,42188.80014400001,41746.344612
41303.88908,42188.80014400001,41746.344612
41303.88908,42188.80014400001,41746.344612
41303.88908,42188.80014400001,41746.344612
41303.88908,42188.80014400001,41746.344612
41303.88908,42188.80014400001,41746.344612
41303.88908,42188.80014400001,41746.344612
41303.88908,42188.80014400001,41746.344612
41270.51130400001,42188.80014400001,41729.65572400001
41270.51130400001,42188.80014400001,41729.65572400001
41270.51130400001,42188.80014400001,41729.65572400001
41270.51130400001,42188.80014400001,41729.65572400001
41270.51130400001,42188.80014400001,41729.65572400001
41270.51130400001,42156.089032,41713.300168
41270.51130400001,42156.089032,41713.300168
41270.51130400001,42156.089032,41713.300168
41270.51130400001,42156.089032,41713.300168
41270.51130400001,42156.089032,41713.300168
41213.33352000001,42156.089032,41684.711276
41213.33352000001,42156.089032,41684.711276
41213.33352000001,42156.089032,41684.711276
41213.33352000001,42156.089032,41684.711276
41213.33352000001,42156.089032,41684.711276
41213.33352000001,42156.089032,41684.711276
41213.33352000001,42156.089032,41684.711276
41155.400184000006,42156.089032,41655.74460800001
41155.400184000006,42156.089032,41655.74460800001
41155.400184000006,42077.511264,41616.455724
41155.400184000006,42077.511264,41616.455724
41155.400184000006,42077.511264,41616.455724
41155.400184000006,42077.511264,41616.455724
41155.400184000006,42077.511264,41616.455724
41155.400184000006,42077.511264,41616.455724
41155.400184000006,42077.511264,41616.455724
41155.400184000006,42004.755728000004,41580.07795600001
41155.400184000006,42004.755728000004,41580.07795600001
41155.400184000006,42004.755728000004,41580.07795600001
41155.400184000006,42004.755728000004,41580.07795600001
41155.400184000006,42004.755728000004,41580.07795600001
41155.400184000006,42004.755728000004,41580.07795600001
41155.400184000006,42004.755728000004,41580.07795600001
41155.400184000006,42004.755728000004,41580.07795600001
41155.400184000006,41950.97795200001,41553.18906800001
41155.400184000006,41950.97795200001,41553.18906800001
41155.400184000006,41950.97795200001,41553.18906800001
41155.400184000006,41950.97795200001,41553.18906800001
41155.400184000006,41950.97795200001,41553.18906800001
41155.400184000006,41950.97795200001,41553.18906800001
41155.400184000006,41950.97795200001,41553.18906800001
41053.51130400001,41950.97795200001,41502.24462800001
41053.51130400001,41950.97795200001,41502.24462800001
41053.51130400001,41885.511288,41469.511296000004
41053.51130400001,41885.511288,41469.511296000004
41053.51130400001,41885.511288,41469.511296000004
41053.51130400001,41885.511288,41469.511296000004
41053.51130400001,41885.511288,41469.511296000004
41053.51130400001,41885.511288,41469.511296000004
41053.51130400001,41885.511288,41469.511296000004
40984.022408000004,41885.511288,41434.766848
40984.022408000004,41885.511288,41434.766848
40984.022408000004,41877.244616,41430.633512
40984.022408000004,41798.577952,41391.300180000006
40984.022408000004,41798.577952,41391.300180000006
40984.022408000004,41798.577952,41391.300180000006
40984.022408000004,41798.577952,41391.300180000006
40984.022408000004,41798.577952,41391.300180000006
40984.022408000004,41798.577952,41391.300180000006
40822.77796000001,41798.577952,41310.677956
40822.77796000001,41798.577952,41310.677956
40822.77796000001,41798.577952,41310.677956
40822.77796000001,41769.244616,41296.01128800001
40822.77796000001,41749.844608,41286.311284
40804.11128800001,41749.844608,41276.977948
40804.11128800001,41749.844608,41276.977948
40804.11128800001,41749.844608,41276.977948
40804.11128800001,41749.844608,41276.977948
40804.11128800001,41749.844608,41276.977948
40804.11128800001,41749.844608,41276.977948
40804.11128800001,41749.844608,41276.977948
40804.11128800001,41749.844608,41276.977948
40798.777952000004,41749.844608,41274.31128
40798.777952000004,41749.844608,41274.31128
40798.777952000004,41749.844608,41274.31128
40798.777952000004,41749.844608,41274.31128
40798.777952000004,41749.844608,41274.31128
40798.777952000004,41749.844608,41274.31128
40798.777952000004,41749.844608,41274.31128
40798.777952000004,41749.844608,41274.31128
40798.777952000004,41749.844608,41274.31128
40635.40015200001,41749.844608,41192.62238
40635.40015200001,41749.844608,41192.62238
40635.40015200001,41749.844608,41192.62238
40635.40015200001,41749.844608,41192.62238
40635.40015200001,41749.844608,41192.62238
40635.40015200001,41749.844608,41192.62238
40635.40015200001,41749.844608,41192.62238
40635.40015200001,41749.844608,41192.62238
40635.40015200001,41749.844608,41192.62238
40304.755712000006,41749.844608,41027.30016
40304.755712000006,41749.844608,41027.30016
40304.755712000006,41749.844608,41027.30016
40304.755712000006,41749.844608,41027.30016
40304.755712000006,41749.844608,41027.30016
40304.755712000006,41749.844608,41027.30016
40304.755712000006,41749.844608,41027.30016
40304.755712000006,41749.844608,41027.30016
40304.755712000006,41749.844608,41027.30016
40304.755712000006,41749.844608,41027.30016
40304.755712000006,41749.844608,41027.30016
40304.755712000006,41749.844608,41027.30016
40304.755712000006,41749.844608,41027.30016
40304.755712000006,41749.844608,41027.30016
40304.755712000006,41749.844608,41027.30016
40304.755712000006,41749.844608,41027.30016
40304.755712000006,41749.844608,41027.30016
40304.755712000006,41749.844608,41027.30016
