../results/dj38_shuffle-000-01.csv,../results/dj38_shuffle-000-02.csv,avg
7867.155840000005,8011.511320000001,7939.333580000003
7867.155840000005,8011.511320000001,7939.333580000003
7863.689168000004,8005.377984000001,7934.5335760000025
7863.689168000004,8005.377984000001,7934.5335760000025
7863.689168000004,7997.089088000001,7930.3891280000025
7863.689168000004,7997.089088000001,7930.3891280000025
7863.689168000004,7997.089088000001,7930.3891280000025
7863.689168000004,7997.089088000001,7930.3891280000025
7863.689168000004,7997.089088000001,7930.3891280000025
7863.689168000004,7997.089088000001,7930.3891280000025
7863.689168000004,7997.089088000001,7930.3891280000025
7856.400264000004,7997.089088000001,7926.744676000002
7856.400264000004,7997.089088000001,7926.744676000002
7856.400264000004,7997.089088000001,7926.744676000002
7856.400264000004,7997.089088000001,7926.744676000002
7856.400264000004,7997.089088000001,7926.744676000002
7856.400264000004,7997.089088000001,7926.744676000002
7856.400264000004,7997.089088000001,7926.744676000002
7856.400264000004,7997.089088000001,7926.744676000002
7856.400264000004,7997.089088000001,7926.744676000002
7856.400264000004,7997.089088000001,7926.744676000002
7856.400264000004,7997.089088000001,7926.744676000002
7856.400264000004,7997.089088000001,7926.744676000002
7856.400264000004,7997.089088000001,7926.744676000002
7856.400264000004,7997.089088000001,7926.744676000002
7856.400264000004,7987.533552000003,7921.966908000004
7856.400264000004,7972.266872000002,7914.333568000004
7856.400264000004,7972.266872000002,7914.333568000004
7856.400264000004,7972.266872000002,7914.333568000004
7856.400264000004,7972.266872000002,7914.333568000004
7856.400264000004,7972.266872000002,7914.333568000004
7856.400264000004,7972.266872000002,7914.333568000004
7856.400264000004,7972.266872000002,7914.333568000004
7856.400264000004,7972.266872000002,7914.333568000004
7856.400264000004,7972.266872000002,7914.333568000004
7856.400264000004,7972.266872000002,7914.333568000004
7856.400264000004,7972.266872000002,7914.333568000004
7847.400272000004,7972.266872000002,7909.833572000003
7847.400272000004,7972.266872000002,7909.833572000003
7847.400272000004,7972.266872000002,7909.833572000003
7847.400272000004,7972.266872000002,7909.833572000003
7847.400272000004,7972.266872000002,7909.833572000003
7847.400272000004,7972.266872000002,7909.833572000003
7847.400272000004,7972.266872000002,7909.833572000003
7847.400272000004,7968.311328000002,7907.855800000003
7847.400272000004,7968.311328000002,7907.855800000003
7847.400272000004,7968.311328000002,7907.855800000003
7847.400272000004,7968.311328000002,7907.855800000003
7847.400272000004,7928.755784000003,7888.0780280000035
7847.400272000004,7928.755784000003,7888.0780280000035
7847.400272000004,7928.755784000003,7888.0780280000035
7847.400272000004,7928.755784000003,7888.0780280000035
7847.400272000004,7928.755784000003,7888.0780280000035
7847.400272000004,7928.755784000003,7888.0780280000035
7847.400272000004,7928.755784000003,7888.0780280000035
7847.400272000004,7928.755784000003,7888.0780280000035
7847.400272000004,7928.755784000003,7888.0780280000035
7847.400272000004,7928.755784000003,7888.0780280000035
7847.400272000004,7928.755784000003,7888.0780280000035
7847.400272000004,7928.755784000003,7888.0780280000035
