../results/dj38_exp_rank_mutator000-01.csv,../results/dj38_exp_rank_mutator000-02.csv,avg
8919.044648000005,8744.689135999999,8831.866892000002
8919.044648000005,8743.822463999999,8831.433556000002
8919.044648000005,8707.133568,8813.089108000002
8919.044648000005,8687.711351999998,8803.378
8919.044648000005,8687.711351999998,8803.378
8919.044648000005,8687.711351999998,8803.378
8919.044648000005,8672.733568,8795.889108000003
8919.044648000005,8672.733568,8795.889108000003
8919.044648000005,8672.733568,8795.889108000003
8908.377968000004,8672.733568,8790.555768000002
8908.377968000004,8672.733568,8790.555768000002
8908.377968000004,8672.733568,8790.555768000002
8902.244632000004,8668.600224,8785.422428000002
8902.244632000004,8668.600224,8785.422428000002
8902.244632000004,8668.600224,8785.422428000002
8902.244632000004,8668.600224,8785.422428000002
8902.244632000004,8668.600224,8785.422428000002
8902.244632000004,8668.600224,8785.422428000002
8902.244632000004,8668.600224,8785.422428000002
8902.244632000004,8659.933560000001,8781.089096000003
8902.244632000004,8600.155776,8751.200204
8867.666840000004,8596.266872,8731.966856000003
8853.222392000003,8595.577976000002,8724.400184000002
8825.977920000003,8595.577976000002,8710.777948000003
8825.977920000003,8546.244648,8686.111284000002
8825.977920000003,8546.244648,8686.111284000002
8825.977920000003,8546.244648,8686.111284000002
8825.977920000003,8536.355752000001,8681.166836000002
8825.977920000003,8536.355752000001,8681.166836000002
8820.355704000003,8536.355752000001,8678.355728000002
8791.866824000004,8536.355752000001,8664.111288000004
8791.866824000004,8536.355752000001,8664.111288000004
8784.333496000003,8536.355752000001,8660.344624000001
8784.333496000003,8536.355752000001,8660.344624000001
8784.333496000003,8536.355752000001,8660.344624000001
8770.289056000005,8536.355752000001,8653.322404000002
8770.289056000005,8536.355752000001,8653.322404000002
8770.289056000005,8536.355752000001,8653.322404000002
8770.289056000005,8536.355752000001,8653.322404000002
8770.289056000005,8536.355752000001,8653.322404000002
8770.289056000005,8536.355752000001,8653.322404000002
8770.289056000005,8536.355752000001,8653.322404000002
8770.289056000005,8536.355752000001,8653.322404000002
8770.289056000005,8532.044640000002,8651.166848000004
8770.289056000005,8532.044640000002,8651.166848000004
8770.289056000005,8532.044640000002,8651.166848000004
8760.400160000005,8507.911304000003,8634.155732000003
8760.400160000005,8507.911304000003,8634.155732000003
8760.400160000005,8507.911304000003,8634.155732000003
8746.133496000004,8507.911304000003,8627.022400000003
8746.133496000004,8507.911304000003,8627.022400000003
8730.600152000005,8483.555744000003,8607.077948000004
8708.355712000004,8469.289080000002,8588.822396000003
8708.355712000004,8469.289080000002,8588.822396000003
8701.889056000004,8452.289096,8577.089076000002
8662.511280000004,8452.289096,8557.400188000003
8662.511280000004,8452.289096,8557.400188000003
8662.511280000004,8452.289096,8557.400188000003
8629.555728000003,8452.289096,8540.922412000002
8629.555728000003,8452.289096,8540.922412000002
8629.555728000003,8452.289096,8540.922412000002
8629.555728000003,8452.289096,8540.922412000002
8629.555728000003,8452.289096,8540.922412000002
8592.755712000004,8452.289096,8522.522404000003
8592.755712000004,8452.289096,8522.522404000003
8590.933488000002,8452.289096,8521.611292000001
8590.933488000002,8452.289096,8521.611292000001
8590.933488000002,8452.289096,8521.611292000001
8543.266808000004,8452.289096,8497.777952000002
8543.266808000004,8452.289096,8497.777952000002
8543.266808000004,8452.289096,8497.777952000002
8543.266808000004,8450.333544000001,8496.800176000002
8543.266808000004,8450.333544000001,8496.800176000002
