../results/wi29_exp_rank_mutator001-01.csv,../results/wi29_exp_rank_mutator001-02.csv,avg
46359.55575200001,45587.0002,45973.277976000005
46019.711304000004,45534.933504,45777.322404000006
46019.711304000004,45534.933504,45777.322404000006
46011.93352,45534.933504,45773.433512
45909.266855999995,45534.933504,45722.100179999994
45907.17797599999,45534.933504,45721.055739999996
45803.755736,45534.933504,45669.34462
45799.489072,45514.733512000006,45657.111292
45723.755736,45514.733512000006,45619.244624
45533.489063999994,45500.75573600001,45517.1224
45475.266840000004,45500.75573600001,45488.01128800001
45475.266840000004,45500.75573600001,45488.01128800001
45475.266840000004,45500.75573600001,45488.01128800001
45475.266840000004,45488.777976000005,45482.022408000004
45475.266840000004,45488.777976000005,45482.022408000004
45475.266840000004,45474.11131200001,45474.68907600001
45475.266840000004,45334.289104,45404.777972
45475.266840000004,45334.289104,45404.777972
45406.800176,45334.289104,45370.54464
45334.266848,45308.51132800001,45321.389088
45277.555735999995,45263.355776000004,45270.455755999996
45277.555735999995,45127.133552000014,45202.344644000004
45277.555735999995,45127.133552000014,45202.344644000004
45247.400175999996,45127.133552000014,45187.266864000005
45056.53347999999,45127.133552000014,45091.833516
45056.53347999999,45127.133552000014,45091.833516
45056.53347999999,45127.133552000014,45091.833516
44986.40012800001,44833.48911200001,44909.94462000001
44986.40012800001,44833.48911200001,44909.94462000001
44962.40012800001,44833.48911200001,44897.94462000001
44962.40012800001,44833.48911200001,44897.94462000001
44886.911248000004,44833.48911200001,44860.20018000001
44886.911248000004,44833.48911200001,44860.20018000001
44679.82235200001,44833.48911200001,44756.655732000014
44577.155688000006,44833.48911200001,44705.322400000005
44495.82235200001,44833.48911200001,44664.655732000014
44495.82235200001,44833.48911200001,44664.655732000014
44495.82235200001,44811.377992,44653.600172000006
44486.75569600001,44811.377992,44649.066844
44486.75569600001,44617.266888000006,44552.01129200001
44486.75569600001,44569.266888000006,44528.01129200001
44486.75569600001,44567.133552,44526.944624
44486.75569600001,44567.133552,44526.944624
44486.75569600001,44496.889104,44491.822400000005
44486.75569600001,44496.889104,44491.822400000005
44486.75569600001,44496.889104,44491.822400000005
