../results/dj38_exp_rank_swap1-01.csv,../results/dj38_exp_rank_swap1-02.csv,avg
8459.844608000003,8692.222440000001,8576.033524000002
8459.844608000003,8692.222440000001,8576.033524000002
8459.844608000003,8690.266864000003,8575.055736000002
8459.844608000003,8690.266864000003,8575.055736000002
8459.844608000003,8690.266864000003,8575.055736000002
8459.844608000003,8690.266864000003,8575.055736000002
8459.844608000003,8678.733544000002,8569.289076000003
8459.844608000003,8678.733544000002,8569.289076000003
8435.244616000004,8658.266872000002,8546.755744000002
8435.244616000004,8655.666848,8545.455732000002
8435.244616000004,8655.666848,8545.455732000002
8435.244616000004,8655.666848,8545.455732000002
8435.244616000004,8655.666848,8545.455732000002
8435.244616000004,8655.666848,8545.455732000002
8435.244616000004,8655.666848,8545.455732000002
8420.777952,8655.666848,8538.2224
8420.777952,8655.666848,8538.2224
8365.644624,8608.822392000002,8487.233508000001
8365.644624,8608.822392000002,8487.233508000001
8365.644624,8608.822392000002,8487.233508000001
8365.644624,8608.822392000002,8487.233508000001
8365.644624,8608.822392000002,8487.233508000001
8365.644624,8608.822392000002,8487.233508000001
8365.644624,8608.822392000002,8487.233508000001
8339.577968000001,8591.911272000003,8465.744620000001
8339.577968000001,8591.911272000003,8465.744620000001
8339.577968000001,8591.911272000003,8465.744620000001
8339.577968000001,8591.911272000003,8465.744620000001
8339.577968000001,8591.911272000003,8465.744620000001
8339.577968000001,8591.911272000003,8465.744620000001
8339.577968000001,8588.889048000001,8464.233508000001
8339.577968000001,8588.889048000001,8464.233508000001
8339.577968000001,8588.289056000001,8463.933512000001
8339.577968000001,8588.289056000001,8463.933512000001
8318.933520000002,8578.422384000001,8448.677952000002
8318.933520000002,8566.689056000005,8442.811288000004
8318.933520000002,8566.689056000005,8442.811288000004
8318.933520000002,8556.644592000002,8437.789056000001
8318.933520000002,8539.622352000002,8429.277936000002
8318.933520000002,8539.622352000002,8429.277936000002
8318.933520000002,8489.844576000003,8404.389048000003
8318.933520000002,8489.844576000003,8404.389048000003
8318.933520000002,8489.844576000003,8404.389048000003
8278.222392,8488.066792000003,8383.144592
8261.844624000001,8488.066792000003,8374.955708000001
8261.844624000001,8488.066792000003,8374.955708000001
8261.844624000001,8488.066792000003,8374.955708000001
8261.844624000001,8461.111248000003,8361.477936000003
8261.844624000001,8461.111248000003,8361.477936000003
8261.844624000001,8461.111248000003,8361.477936000003
8261.844624000001,8427.889016000003,8344.866820000003
8261.844624000001,8427.889016000003,8344.866820000003
8261.844624000001,8427.889016000003,8344.866820000003
8253.57796,8427.889016000003,8340.733488000002
8253.57796,8407.600120000003,8330.589040000003
8253.57796,8407.600120000003,8330.589040000003
8246.377960000002,8392.177904,8319.277932
8246.377960000002,8392.177904,8319.277932
8246.377960000002,8392.177904,8319.277932
8239.333536000002,8392.177904,8315.755720000001
8239.333536000002,8391.866792,8315.600164000001
8239.333536000002,8391.866792,8315.600164000001
8239.333536000002,8381.844568,8310.589052000001
8239.333536000002,8381.844568,8310.589052000001
