../results/qa194_swap-1-01.csv,../results/qa194_swap-1-02.csv,avg
4715.311400000012,4663.60020000001,4689.455800000011
4715.311400000012,4663.60020000001,4689.455800000011
4715.311400000012,4663.60020000001,4689.455800000011
4715.311400000012,4659.9335280000105,4687.622464000011
4715.311400000012,4659.9335280000105,4687.622464000011
4685.622488000011,4659.9335280000105,4672.77800800001
4685.622488000011,4659.9335280000105,4672.77800800001
4684.400272000011,4659.9335280000105,4672.166900000011
4684.400272000011,4659.9335280000105,4672.166900000011
4684.400272000011,4659.9335280000105,4672.166900000011
4684.244704000011,4659.9335280000105,4672.08911600001
4684.244704000011,4654.55576000001,4669.400232000011
4684.244704000011,4654.55576000001,4669.400232000011
4681.57801600001,4654.55576000001,4668.06688800001
4663.42244800001,4654.55576000001,4658.98910400001
4658.24466400001,4654.55576000001,4656.40021200001
4658.24466400001,4654.55576000001,4656.40021200001
4658.24466400001,4654.55576000001,4656.40021200001
4658.24466400001,4654.55576000001,4656.40021200001
4658.24466400001,4654.55576000001,4656.40021200001
4658.24466400001,4654.55576000001,4656.40021200001
4658.24466400001,4654.55576000001,4656.40021200001
4658.24466400001,4654.55576000001,4656.40021200001
4658.24466400001,4654.55576000001,4656.40021200001
4651.33356000001,4654.55576000001,4652.94466000001
4651.33356000001,4654.17798400001,4652.7557720000095
4651.33356000001,4654.17798400001,4652.7557720000095
4644.844664000009,4654.17798400001,4649.51132400001
4644.844664000009,4653.84465600001,4649.34466000001
4639.31132800001,4653.84465600001,4646.5779920000095
4639.31132800001,4653.84465600001,4646.5779920000095
4639.31132800001,4653.84465600001,4646.5779920000095
4639.31132800001,4653.84465600001,4646.5779920000095
4639.31132800001,4653.84465600001,4646.5779920000095
4639.31132800001,4653.84465600001,4646.5779920000095
4639.31132800001,4652.155768000011,4645.733548000011
4639.31132800001,4652.155768000011,4645.733548000011
4639.31132800001,4652.155768000011,4645.733548000011
4639.31132800001,4652.155768000011,4645.733548000011
4639.31132800001,4652.155768000011,4645.733548000011
4627.2890960000095,4652.155768000011,4639.7224320000105
4627.2890960000095,4652.155768000011,4639.7224320000105
4605.0002080000095,4652.155768000011,4628.57798800001
4605.0002080000095,4646.400216000011,4625.700212000011
4605.0002080000095,4646.400216000011,4625.700212000011
4605.0002080000095,4646.400216000011,4625.700212000011
4604.1335280000085,4646.400216000011,4625.266872000009
4604.1335280000085,4646.400216000011,4625.266872000009
4604.1335280000085,4646.400216000011,4625.266872000009
4604.1335280000085,4646.400216000011,4625.266872000009
4604.1335280000085,4646.400216000011,4625.266872000009
4604.1335280000085,4624.533536000012,4614.33353200001
4604.1335280000085,4624.533536000012,4614.33353200001
4604.1335280000085,4624.533536000012,4614.33353200001
4560.200200000008,4624.533536000012,4592.36686800001
4560.200200000008,4624.533536000012,4592.36686800001
4560.200200000008,4624.533536000012,4592.36686800001
4560.200200000008,4624.533536000012,4592.36686800001
4560.200200000008,4624.533536000012,4592.36686800001
4560.200200000008,4624.533536000012,4592.36686800001
4560.200200000008,4624.533536000012,4592.36686800001
4560.200200000008,4624.533536000012,4592.36686800001
4552.333520000009,4624.533536000012,4588.4335280000105
4552.333520000009,4622.911312000011,4587.62241600001
4552.333520000009,4622.911312000011,4587.62241600001
4552.333520000009,4622.911312000011,4587.62241600001
4552.333520000009,4622.911312000011,4587.62241600001
4552.333520000009,4622.911312000011,4587.62241600001
4552.333520000009,4622.911312000011,4587.62241600001
4552.333520000009,4622.911312000011,4587.62241600001
4552.333520000009,4622.911312000011,4587.62241600001
4552.333520000009,4622.911312000011,4587.62241600001
4552.333520000009,4622.911312000011,4587.62241600001
4552.333520000009,4622.911312000011,4587.62241600001
4552.333520000009,4622.911312000011,4587.62241600001
4552.333520000009,4622.911312000011,4587.62241600001
4552.333520000009,4622.911312000011,4587.62241600001
4552.333520000009,4622.911312000011,4587.62241600001
4552.333520000009,4622.911312000011,4587.62241600001
4552.333520000009,4622.911312000011,4587.62241600001
4546.777960000009,4622.911312000011,4584.844636000011
4546.777960000009,4622.911312000011,4584.844636000011
4546.777960000009,4622.911312000011,4584.844636000011
4546.777960000009,4616.355760000011,4581.56686000001
4546.777960000009,4616.355760000011,4581.56686000001
4546.777960000009,4616.355760000011,4581.56686000001
4546.777960000009,4616.355760000011,4581.56686000001
4546.777960000009,4616.355760000011,4581.56686000001
4546.777960000009,4616.355760000011,4581.56686000001
4546.777960000009,4616.289096000011,4581.533528000011
4546.777960000009,4616.289096000011,4581.533528000011
4546.777960000009,4616.289096000011,4581.533528000011
4546.777960000009,4616.289096000011,4581.533528000011
4546.777960000009,4616.289096000011,4581.533528000011
4546.777960000009,4616.289096000011,4581.533528000011
4546.777960000009,4616.289096000011,4581.533528000011
4546.777960000009,4616.289096000011,4581.533528000011
4546.777960000009,4616.289096000011,4581.533528000011
4546.777960000009,4616.289096000011,4581.533528000011
4546.777960000009,4616.289096000011,4581.533528000011
4546.777960000009,4616.289096000011,4581.533528000011
4546.777960000009,4616.289096000011,4581.533528000011
4546.777960000009,4616.289096000011,4581.533528000011
4546.777960000009,4594.311320000012,4570.544640000011
4546.777960000009,4594.311320000012,4570.544640000011
4546.777960000009,4594.311320000012,4570.544640000011
4546.777960000009,4594.311320000012,4570.544640000011
4546.777960000009,4594.311320000012,4570.544640000011
4546.777960000009,4594.311320000012,4570.544640000011
4546.777960000009,4594.311320000012,4570.544640000011
4546.777960000009,4594.311320000012,4570.544640000011
4546.777960000009,4594.311320000012,4570.544640000011
4546.777960000009,4594.311320000012,4570.544640000011
4546.777960000009,4594.311320000012,4570.544640000011
4546.777960000009,4594.311320000012,4570.544640000011
4546.777960000009,4594.311320000012,4570.544640000011
4546.777960000009,4594.311320000012,4570.544640000011
4546.777960000009,4594.311320000012,4570.544640000011
