../results/qa194_mutator-002-01.csv,../results/qa194_mutator-002-02.csv,avg
4717.600224000012,4648.955744000009,4683.27798400001
4717.600224000012,4648.955744000009,4683.27798400001
4717.600224000012,4648.955744000009,4683.27798400001
4717.600224000012,4648.955744000009,4683.27798400001
4717.600224000012,4648.955744000009,4683.27798400001
4717.600224000012,4648.955744000009,4683.27798400001
4717.0891120000115,4648.955744000009,4683.02242800001
4717.0891120000115,4639.400216000009,4678.244664000011
4717.0891120000115,4639.400216000009,4678.244664000011
4707.622448000011,4624.88908800001,4666.25576800001
4707.622448000011,4624.88908800001,4666.25576800001
4702.178000000011,4615.73352800001,4658.95576400001
4702.178000000011,4589.711320000011,4645.944660000011
4702.178000000011,4589.711320000011,4645.944660000011
4697.555792000011,4589.711320000011,4643.633556000012
4697.555792000011,4589.711320000011,4643.633556000012
4697.555792000011,4589.711320000011,4643.633556000012
4686.155784000011,4589.711320000011,4637.933552000011
4686.1557840000105,4589.711320000011,4637.933552000011
4686.1557840000105,4589.711320000011,4637.933552000011
4686.1557840000105,4579.4446560000115,4632.800220000011
4671.533568000011,4579.4446560000115,4625.489112000011
4671.533568000011,4579.4446560000115,4625.489112000011
4671.533568000011,4579.4446560000115,4625.489112000011
4671.533568000011,4579.4446560000115,4625.489112000011
4671.533568000011,4579.4446560000115,4625.489112000011
4666.0891200000115,4579.4446560000115,4622.766888000011
4666.0891200000115,4579.4446560000115,4622.766888000011
4666.0891200000115,4579.4446560000115,4622.766888000011
4661.066904000011,4579.4446560000115,4620.255780000011
4661.066904000011,4576.4446560000115,4618.755780000011
4661.066904000011,4576.4446560000115,4618.755780000011
4653.244680000011,4576.4446560000115,4614.844668000011
4653.244680000011,4576.4446560000115,4614.844668000011
4653.244680000011,4576.4446560000115,4614.844668000011
4653.244680000011,4571.844656000012,4612.544668000011
4653.244680000011,4571.844656000012,4612.544668000011
4653.244680000011,4571.844656000012,4612.544668000011
4653.244680000011,4571.844656000012,4612.544668000011
4644.48912800001,4571.844656000012,4608.166892000011
4644.48912800001,4571.844656000012,4608.166892000011
4644.48912800001,4571.844656000012,4608.166892000011
4644.48912800001,4571.844656000012,4608.166892000011
4644.48912800001,4571.844656000012,4608.166892000011
4644.48912800001,4571.844656000012,4608.166892000011
4644.48912800001,4571.844656000012,4608.166892000011
4644.48912800001,4571.844656000012,4608.166892000011
4641.333568000009,4571.844656000012,4606.589112000011
4641.333568000009,4571.844656000012,4606.589112000011
4641.333568000009,4571.844656000012,4606.589112000011
4641.333568000009,4571.844656000012,4606.589112000011
4641.333568000009,4571.844656000012,4606.589112000011
4641.333568000009,4571.844656000012,4606.589112000011
4641.333568000009,4571.844656000012,4606.589112000011
4641.333568000009,4571.844656000012,4606.589112000011
4634.244656000008,4571.844656000012,4603.04465600001
4634.244656000008,4571.844656000012,4603.04465600001
4634.244656000008,4571.844656000012,4603.04465600001
4621.155768000009,4571.844656000012,4596.50021200001
4621.155768000009,4571.844656000012,4596.50021200001
4621.155768000009,4571.844656000012,4596.50021200001
4621.155768000009,4571.844656000012,4596.50021200001
4621.155768000009,4571.844656000012,4596.50021200001
4621.155768000009,4571.844656000012,4596.50021200001
4621.155768000009,4571.844656000012,4596.50021200001
4621.155768000009,4571.844656000012,4596.50021200001
4621.155768000009,4571.844656000012,4596.50021200001
4621.155768000009,4571.844656000012,4596.50021200001
4621.155768000009,4571.844656000012,4596.50021200001
4621.155768000009,4571.844656000012,4596.50021200001
4621.155768000009,4571.844656000012,4596.50021200001
4621.155768000009,4571.844656000012,4596.50021200001
4607.51132000001,4571.844656000012,4589.67798800001
4607.51132000001,4563.289104000012,4585.400212000011
4607.51132000001,4563.289104000012,4585.400212000011
4607.51132000001,4563.289104000012,4585.400212000011
4607.51132000001,4563.289104000012,4585.400212000011
4607.51132000001,4563.289104000012,4585.400212000011
4606.53353600001,4563.289104000012,4584.911320000011
4606.53353600001,4563.289104000012,4584.911320000011
4606.53353600001,4562.555752000012,4584.5446440000105
4606.53353600001,4562.555752000012,4584.5446440000105
4606.53353600001,4562.555752000012,4584.5446440000105
4606.53353600001,4562.555752000012,4584.5446440000105
4606.53353600001,4562.555752000012,4584.5446440000105
4606.53353600001,4562.555752000012,4584.5446440000105
4604.800216000011,4562.555752000012,4583.677984000011
4604.800216000011,4562.555752000012,4583.677984000011
4603.1557680000105,4562.555752000012,4582.855760000011
4603.1557680000105,4558.622400000011,4580.889084000011
4603.1557680000105,4558.622400000011,4580.889084000011
4603.1557680000105,4558.622400000011,4580.889084000011
4603.1557680000105,4558.622400000011,4580.889084000011
4603.1557680000105,4558.622400000011,4580.889084000011
4603.1557680000105,4558.622400000011,4580.889084000011
4603.1557680000105,4558.622400000011,4580.889084000011
4603.1557680000105,4558.622400000011,4580.889084000011
4603.1557680000105,4558.622400000011,4580.889084000011
4603.1557680000105,4558.622400000011,4580.889084000011
4603.1557680000105,4558.622400000011,4580.889084000011
4603.1557680000105,4558.622400000011,4580.889084000011
4603.1557680000105,4558.622400000011,4580.889084000011
4603.1557680000105,4558.622400000011,4580.889084000011
4603.1557680000105,4558.622400000011,4580.889084000011
4603.1557680000105,4558.622400000011,4580.889084000011
4603.1557680000105,4558.622400000011,4580.889084000011
4603.1557680000105,4558.622400000011,4580.889084000011
4596.60020000001,4558.622400000011,4577.6113000000105
4596.60020000001,4558.622400000011,4577.6113000000105
4596.60020000001,4552.666848000011,4574.63352400001
4596.60020000001,4552.666848000011,4574.63352400001
4596.60020000001,4552.666848000011,4574.63352400001
4596.60020000001,4552.666848000011,4574.63352400001
4596.60020000001,4552.666848000011,4574.63352400001
4596.60020000001,4552.666848000011,4574.63352400001
4596.60020000001,4552.666848000011,4574.63352400001
4590.42243200001,4536.26684800001,4563.34464000001
4590.42243200001,4536.26684800001,4563.34464000001
4590.42243200001,4536.26684800001,4563.34464000001
4590.42243200001,4536.26684800001,4563.34464000001
4590.42243200001,4536.26684800001,4563.34464000001
4590.42243200001,4536.26684800001,4563.34464000001
4590.42243200001,4536.26684800001,4563.34464000001
4590.42243200001,4533.60016800001,4562.01130000001
4590.42243200001,4522.5779360000115,4556.500184000011
4590.42243200001,4522.5779360000115,4556.500184000011
4590.42243200001,4522.5779360000115,4556.500184000011
4590.42243200001,4522.5779360000115,4556.500184000011
4590.42243200001,4522.5779360000115,4556.500184000011
4590.42243200001,4519.844608000011,4555.13352000001
4590.42243200001,4519.844608000011,4555.13352000001
4590.42243200001,4519.844608000011,4555.13352000001
4590.42243200001,4519.844608000011,4555.13352000001
4590.42243200001,4519.844608000011,4555.13352000001
4590.42243200001,4519.844608000011,4555.13352000001
4590.42243200001,4508.466824000012,4549.444628000011
4590.42243200001,4508.466824000012,4549.444628000011
4590.42243200001,4508.466824000012,4549.444628000011
4590.42243200001,4508.466824000012,4549.444628000011
4590.42243200001,4508.466824000012,4549.444628000011
4590.42243200001,4508.466824000012,4549.444628000011
4590.42243200001,4508.466824000012,4549.444628000011
4590.42243200001,4508.466824000012,4549.444628000011
4587.266872000011,4508.466824000012,4547.8668480000115
