../results/dj38_reverse-4-01.csv,../results/dj38_reverse-4-02.csv,avg
8751.866864,9056.822384000005,8904.344624000001
8740.044656,9056.822384000005,8898.433520000002
8740.044656,9056.822384000005,8898.433520000002
8740.044656,9056.822384000005,8898.433520000002
8740.044656,9056.822384000005,8898.433520000002
8716.000216,9056.822384000005,8886.411300000003
8670.133552000001,9051.133488000003,8860.633520000003
8670.133552000001,9051.133488000003,8860.633520000003
8664.800216000001,9051.133488000003,8857.966852000001
8664.800216000001,9050.044600000005,8857.422408000002
8664.800216000001,9044.355712000004,8854.577964000004
8664.800216000001,8974.666832000004,8819.733524000003
8657.222440000001,8953.844608000005,8805.533524000002
8654.822440000002,8944.444608000003,8799.633524000003
8654.822440000002,8944.444608000003,8799.633524000003
8636.733552000002,8944.444608000003,8790.589080000002
8636.733552000002,8944.444608000003,8790.589080000002
8636.733552000002,8944.444608000003,8790.589080000002
8636.733552000002,8944.444608000003,8790.589080000002
8614.800216000001,8944.444608000003,8779.622412000002
8614.800216000001,8944.444608000003,8779.622412000002
8609.844680000002,8944.444608000003,8777.144644000004
8609.844680000002,8925.777952000004,8767.811316000003
8609.844680000002,8921.066840000005,8765.455760000004
8609.844680000002,8900.133504000005,8754.989092000003
8609.844680000002,8900.133504000005,8754.989092000003
8600.644672000002,8900.133504000005,8750.389088000004
8580.044672000004,8900.133504000005,8740.089088000004
8580.044672000004,8876.511288000003,8728.277980000003
8537.311336000002,8856.911296000004,8697.111316000002
8537.311336000002,8856.133512000002,8696.722424000003
8495.600224000003,8850.289072000003,8672.944648000004
8495.600224000003,8845.955744000004,8670.777984000004
8495.600224000003,8778.289064000004,8636.944644000003
8495.600224000003,8778.289064000004,8636.944644000003
8491.778024000005,8774.800176000002,8633.289100000004
8491.778024000005,8768.022400000003,8629.900212000004
8491.778024000005,8768.022400000003,8629.900212000004
8483.378032000004,8768.022400000003,8625.700216000005
8483.378032000004,8768.022400000003,8625.700216000005
8483.378032000004,8768.022400000003,8625.700216000005
8483.378032000004,8760.155736000004,8621.766884000004
8468.178032000003,8760.155736000004,8614.166884000004
8468.178032000003,8760.155736000004,8614.166884000004
8468.178032000003,8760.155736000004,8614.166884000004
8468.178032000003,8760.155736000004,8614.166884000004
8468.178032000003,8760.155736000004,8614.166884000004
8468.178032000003,8760.155736000004,8614.166884000004
8468.178032000003,8760.155736000004,8614.166884000004
8427.400240000004,8760.155736000004,8593.777988000005
8427.400240000004,8760.155736000004,8593.777988000005
8427.400240000004,8760.155736000004,8593.777988000005
8427.400240000004,8760.155736000004,8593.777988000005
8427.400240000004,8760.155736000004,8593.777988000005
8427.400240000004,8760.155736000004,8593.777988000005
8427.400240000004,8760.155736000004,8593.777988000005
8427.400240000004,8753.133504000005,8590.266872000004
8427.400240000004,8753.133504000005,8590.266872000004
8423.289136000005,8753.133504000005,8588.211320000006
8423.289136000005,8753.133504000005,8588.211320000006
8423.289136000005,8753.133504000005,8588.211320000006
8423.289136000005,8747.933504000004,8585.611320000004
8423.289136000005,8747.933504000004,8585.611320000004
8423.289136000005,8747.933504000004,8585.611320000004
8423.289136000005,8730.244600000004,8576.766868000004
8411.378016000004,8730.244600000004,8570.811308000004
8411.378016000004,8730.244600000004,8570.811308000004
8411.378016000004,8730.244600000004,8570.811308000004
8411.378016000004,8730.244600000004,8570.811308000004
8411.378016000004,8730.244600000004,8570.811308000004
8411.378016000004,8724.889040000002,8568.133528000002
8411.378016000004,8724.889040000002,8568.133528000002
8411.378016000004,8709.577928,8560.477972000002
8411.378016000004,8708.666816,8560.022416000003
8411.378016000004,8708.666816,8560.022416000003
8411.378016000004,8708.666816,8560.022416000003
8411.378016000004,8708.666816,8560.022416000003
8411.378016000004,8708.666816,8560.022416000003
8411.378016000004,8708.666816,8560.022416000003
8411.378016000004,8708.666816,8560.022416000003
8411.378016000004,8708.666816,8560.022416000003
8411.378016000004,8708.666816,8560.022416000003
8411.378016000004,8708.666816,8560.022416000003
8411.378016000004,8708.666816,8560.022416000003
8411.378016000004,8708.666816,8560.022416000003
8411.378016000004,8708.666816,8560.022416000003
8403.222456000003,8708.666816,8555.944636000002
8403.222456000003,8699.200160000002,8551.211308000002
8403.222456000003,8699.200160000002,8551.211308000002
8361.866904000004,8699.200160000002,8530.533532000003
8361.866904000004,8699.200160000002,8530.533532000003
8343.844688000005,8699.200160000002,8521.522424000003
8343.844688000005,8699.200160000002,8521.522424000003
8343.844688000005,8685.866840000002,8514.855764000004
8319.355792000002,8685.866840000002,8502.611316000002
8319.355792000002,8685.866840000002,8502.611316000002
8319.355792000002,8685.866840000002,8502.611316000002
8319.355792000002,8685.866840000002,8502.611316000002
8317.200216000003,8685.866840000002,8501.533528000004
8303.333552000004,8685.866840000002,8494.600196000003
8303.333552000004,8685.866840000002,8494.600196000003
8303.333552000004,8677.422416000003,8490.377984000002
8303.333552000004,8672.355728000002,8487.844640000003
8303.333552000004,8663.644608000004,8483.489080000003
8291.133560000004,8663.644608000004,8477.389084000004
8291.133560000004,8663.644608000004,8477.389084000004
8291.133560000004,8663.644608000004,8477.389084000004
8291.133560000004,8623.489040000004,8457.311300000005
8291.133560000004,8623.489040000004,8457.311300000005
8282.133544000004,8613.266832000005,8447.700188000004
8282.133544000004,8613.266832000005,8447.700188000004
8282.133544000004,8613.266832000005,8447.700188000004
8282.133544000004,8613.266832000005,8447.700188000004
8282.133544000004,8613.266832000005,8447.700188000004
8282.133544000004,8598.022376000003,8440.077960000002
8282.133544000004,8577.244600000004,8429.689072000005
8282.133544000004,8577.244600000004,8429.689072000005
8282.133544000004,8577.244600000004,8429.689072000005
8282.133544000004,8566.155696000003,8424.144620000003
8282.133544000004,8566.155696000003,8424.144620000003
8282.133544000004,8566.155696000003,8424.144620000003
8282.133544000004,8559.377928000004,8420.755736000003
8282.133544000004,8559.377928000004,8420.755736000003
8282.133544000004,8547.733488000002,8414.933516000003
8282.133544000004,8547.733488000002,8414.933516000003
8249.555776000005,8547.733488000002,8398.644632000003
8249.555776000005,8547.733488000002,8398.644632000003
8249.555776000005,8547.733488000002,8398.644632000003
8249.555776000005,8547.733488000002,8398.644632000003
8249.555776000005,8547.733488000002,8398.644632000003
8249.555776000005,8547.733488000002,8398.644632000003
8249.555776000005,8547.733488000002,8398.644632000003
8249.555776000005,8547.733488000002,8398.644632000003
8249.555776000005,8547.733488000002,8398.644632000003
8249.555776000005,8547.733488000002,8398.644632000003
8249.555776000005,8534.822368000001,8392.189072000003
8249.555776000005,8502.511240000002,8376.033508000004
8249.555776000005,8502.511240000002,8376.033508000004
8249.555776000005,8502.511240000002,8376.033508000004
8243.511320000005,8502.511240000002,8373.011280000002
8243.511320000005,8487.089032000002,8365.300176000004
8243.511320000005,8481.000144000001,8362.255732000003
8243.511320000005,8464.733472,8354.122396000002
8243.511320000005,8464.089056000003,8353.800188000005
8243.511320000005,8464.089056000003,8353.800188000005
8243.511320000005,8448.889056000002,8346.200188000003
8243.511320000005,8448.889056000002,8346.200188000003
8243.511320000005,8448.889056000002,8346.200188000003
8243.511320000005,8448.889056000002,8346.200188000003
8243.511320000005,8448.889056000002,8346.200188000003
8243.511320000005,8448.889056000002,8346.200188000003
