../results/dj38_mutator-002-01.csv,../results/dj38_mutator-002-02.csv,avg
8768.844640000003,8574.355792000002,8671.600216000003
8754.222416000006,8534.377992000002,8644.300204000003
8754.222416000006,8534.377992000002,8644.300204000003
8747.111312000005,8534.377992000002,8640.744652000003
8731.422456000006,8534.377992000002,8632.900224000005
8730.044672000005,8490.555728000001,8610.300200000003
8730.044672000005,8490.555728000001,8610.300200000003
8730.044672000005,8490.555728000001,8610.300200000003
8730.044672000005,8465.066856000003,8597.555764000004
8730.044672000005,8465.066856000003,8597.555764000004
8730.044672000005,8465.066856000003,8597.555764000004
8730.044672000005,8465.066856000003,8597.555764000004
8703.155784000004,8465.066856000003,8584.111320000004
8703.155784000004,8465.066856000003,8584.111320000004
8703.155784000004,8465.066856000003,8584.111320000004
8703.155784000004,8465.066856000003,8584.111320000004
8703.155784000004,8399.933488000002,8551.544636000002
8703.155784000004,8399.933488000002,8551.544636000002
8703.155784000004,8399.933488000002,8551.544636000002
8700.978000000005,8399.933488000002,8550.455744000003
8679.977992000006,8399.933488000002,8539.955740000005
8679.977992000006,8399.933488000002,8539.955740000005
8679.977992000006,8399.933488000002,8539.955740000005
8679.977992000006,8399.933488000002,8539.955740000005
8679.977992000006,8399.933488000002,8539.955740000005
8679.977992000006,8399.933488000002,8539.955740000005
8679.977992000006,8399.933488000002,8539.955740000005
8679.977992000006,8399.933488000002,8539.955740000005
8679.977992000006,8396.822376000002,8538.400184000004
8652.022432000005,8396.822376000002,8524.422404000004
8652.022432000005,8396.822376000002,8524.422404000004
8652.022432000005,8396.822376000002,8524.422404000004
8652.022432000005,8396.822376000002,8524.422404000004
8652.022432000005,8396.822376000002,8524.422404000004
8610.177992000004,8396.822376000002,8503.500184000004
8610.177992000004,8396.822376000002,8503.500184000004
8610.177992000004,8396.822376000002,8503.500184000004
8610.177992000004,8382.4446,8496.311296000003
8610.177992000004,8382.4446,8496.311296000003
8610.177992000004,8382.4446,8496.311296000003
8610.177992000004,8382.4446,8496.311296000003
8610.177992000004,8382.4446,8496.311296000003
8610.066888000007,8372.111256,8491.089072000002
8604.555776000007,8358.73348,8481.644628000004
8604.555776000007,8358.73348,8481.644628000004
8604.555776000007,8358.73348,8481.644628000004
8604.555776000007,8358.73348,8481.644628000004
8604.555776000007,8358.73348,8481.644628000004
8604.555776000007,8358.73348,8481.644628000004
8604.555776000007,8358.73348,8481.644628000004
8602.089088000006,8358.73348,8480.411284000003
8599.711312000005,8358.73348,8479.222396000003
8555.289080000006,8358.73348,8457.011280000002
8552.933528000005,8358.73348,8455.833504000002
8552.933528000005,8358.73348,8455.833504000002
8552.933528000005,8358.73348,8455.833504000002
8552.933528000005,8358.73348,8455.833504000002
8552.933528000005,8358.73348,8455.833504000002
8552.933528000005,8358.73348,8455.833504000002
8552.933528000005,8358.73348,8455.833504000002
8552.933528000005,8358.73348,8455.833504000002
8552.933528000005,8358.73348,8455.833504000002
8552.933528000005,8358.73348,8455.833504000002
8552.933528000005,8337.333480000001,8445.133504000003
8543.044648000005,8337.333480000001,8440.189064000002
8543.044648000005,8331.955704,8437.500176000001
8543.044648000005,8331.955704,8437.500176000001
8543.044648000005,8331.955704,8437.500176000001
8528.355768000003,8331.955704,8430.155736
8528.355768000003,8331.955704,8430.155736
8528.355768000003,8331.955704,8430.155736
8528.355768000003,8308.800144,8418.577956000001
8528.355768000003,8308.022359999999,8418.189064000002
8528.355768000003,8308.022359999999,8418.189064000002
8521.466864000005,8308.022359999999,8414.744612000002
8521.466864000005,8308.022359999999,8414.744612000002
8521.466864000005,8308.022359999999,8414.744612000002
8508.977976000004,8308.022359999999,8408.500168000002
8508.977976000004,8308.022359999999,8408.500168000002
8508.977976000004,8308.022359999999,8408.500168000002
8484.555744000005,8308.022359999999,8396.289052000002
8484.555744000005,8308.022359999999,8396.289052000002
8484.555744000005,8294.177928000001,8389.366836000003
