../results/qa194_exp_rank_mutator001-01.csv,../results/qa194_exp_rank_mutator001-02.csv,avg
4514.289168000014,4568.044704000013,4541.166936000013
4514.289168000014,4568.044704000013,4541.166936000013
4514.289168000014,4568.044704000013,4541.166936000013
4514.289168000014,4568.044704000013,4541.166936000013
4514.289168000014,4568.044704000013,4541.166936000013
4514.289168000014,4568.044704000013,4541.166936000013
4497.622504000013,4568.044704000013,4532.833604000012
4497.622504000013,4568.044704000013,4532.833604000012
4497.622504000013,4568.044704000013,4532.833604000012
4497.622504000013,4568.044704000013,4532.833604000012
4497.622504000013,4568.044704000013,4532.833604000012
4497.622504000013,4568.044704000013,4532.833604000012
4497.622504000013,4568.044704000013,4532.833604000012
4497.622504000013,4568.044704000013,4532.833604000012
4497.622504000013,4568.044704000013,4532.833604000012
4497.622504000013,4568.044704000013,4532.833604000012
4497.622504000013,4544.0224800000115,4520.822492000012
4497.622504000013,4544.0224800000115,4520.822492000012
4497.622504000013,4544.0224800000115,4520.822492000012
4497.622504000013,4542.133584000011,4519.878044000012
4497.622504000013,4542.133584000011,4519.878044000012
4497.622504000013,4542.133584000011,4519.878044000012
4497.622504000013,4542.133584000011,4519.878044000012
4497.622504000013,4542.133584000011,4519.878044000012
4497.622504000013,4542.133584000011,4519.878044000012
4497.622504000013,4542.133584000011,4519.878044000012
4497.622504000013,4542.133584000011,4519.878044000012
4497.622504000013,4542.133584000011,4519.878044000012
4497.622504000013,4542.133584000011,4519.878044000012
4497.622504000013,4542.133584000011,4519.878044000012
4497.622504000013,4542.133584000011,4519.878044000012
4497.622504000013,4542.133584000011,4519.878044000012
4497.622504000013,4542.133584000011,4519.878044000012
4497.622504000013,4542.133584000011,4519.878044000012
4497.622504000013,4542.133584000011,4519.878044000012
4497.622504000013,4542.133584000011,4519.878044000012
4497.622504000013,4542.133584000011,4519.878044000012
4497.622504000013,4542.133584000011,4519.878044000012
4497.622504000013,4542.133584000011,4519.878044000012
4497.622504000013,4542.133584000011,4519.878044000012
4497.622504000013,4542.133584000011,4519.878044000012
4497.622504000013,4542.133584000011,4519.878044000012
4497.622504000013,4542.133584000011,4519.878044000012
4497.622504000013,4542.133584000011,4519.878044000012
4497.622504000013,4542.133584000011,4519.878044000012
4497.622504000013,4539.5336000000125,4518.578052000013
4497.622504000013,4539.5336000000125,4518.578052000013
4497.622504000013,4539.5336000000125,4518.578052000013
