../results/wi29shuffle0-01.csv,../results/wi29shuffle0-02.csv,avg
42147.00016800001,41645.66683200001,41896.33350000001
42147.00016800001,41645.66683200001,41896.33350000001
42147.00016800001,41645.66683200001,41896.33350000001
42147.00016800001,41645.66683200001,41896.33350000001
42147.00016800001,41645.66683200001,41896.33350000001
42147.00016800001,41645.66683200001,41896.33350000001
42147.00016800001,41645.66683200001,41896.33350000001
42147.00016800001,41645.66683200001,41896.33350000001
42147.00016800001,41645.66683200001,41896.33350000001
42147.00016800001,41645.66683200001,41896.33350000001
42147.00016800001,41645.66683200001,41896.33350000001
42147.00016800001,41645.66683200001,41896.33350000001
42147.00016800001,41645.66683200001,41896.33350000001
42147.00016800001,41645.66683200001,41896.33350000001
42147.00016800001,41645.66683200001,41896.33350000001
42147.00016800001,41645.66683200001,41896.33350000001
42147.00016800001,41645.66683200001,41896.33350000001
42147.00016800001,41645.66683200001,41896.33350000001
42147.00016800001,41645.66683200001,41896.33350000001
42147.00016800001,41645.66683200001,41896.33350000001
42009.24460800001,41645.66683200001,41827.45572000001
42009.24460800001,41645.66683200001,41827.45572000001
42009.24460800001,41613.933512,41811.589060000006
42009.24460800001,41613.933512,41811.589060000006
42009.24460800001,41613.933512,41811.589060000006
42009.24460800001,41613.933512,41811.589060000006
41966.777944,41613.933512,41790.355728
41942.489056,41604.022408000004,41773.255732000005
41942.489056,41604.022408000004,41773.255732000005
41881.955736,41604.022408000004,41742.989072000004
41762.266832,41604.022408000004,41683.14462000001
41762.266832,41604.022408000004,41683.14462000001
41579.489056,41604.022408000004,41591.755732000005
41567.511288,41604.022408000004,41585.766848
41567.511288,41604.022408000004,41585.766848
41554.177952,41604.022408000004,41579.10018
41554.177952,41604.022408000004,41579.10018
41554.177952,41377.200184,41465.689068
41554.177952,41377.200184,41465.689068
41554.177952,41346.66684800001,41450.4224
41459.533504000006,41346.66684800001,41403.10017600001
41459.533504000006,41307.26684800001,41383.40017600001
41459.533504000006,41307.26684800001,41383.40017600001
41459.533504000006,41307.26684800001,41383.40017600001
41459.533504000006,41307.26684800001,41383.40017600001
41459.533504000006,41276.82239200001,41368.17794800001
41459.533504000006,41276.82239200001,41368.17794800001
41459.533504000006,41276.82239200001,41368.17794800001
41459.533504000006,41276.82239200001,41368.17794800001
41459.533504000006,41276.82239200001,41368.17794800001
41459.533504000006,41276.82239200001,41368.17794800001
41459.533504000006,41276.82239200001,41368.17794800001
41401.000184000004,41228.62238400001,41314.81128400001
41401.000184000004,41228.62238400001,41314.81128400001
41401.000184000004,41228.62238400001,41314.81128400001
41401.000184000004,41228.62238400001,41314.81128400001
41401.000184000004,41228.62238400001,41314.81128400001
41401.000184000004,41228.62238400001,41314.81128400001
41401.000184000004,41228.62238400001,41314.81128400001
41401.000184000004,41228.62238400001,41314.81128400001
41401.000184000004,41228.62238400001,41314.81128400001
41401.000184000004,41228.62238400001,41314.81128400001
41401.000184000004,41228.62238400001,41314.81128400001
41401.000184000004,41228.62238400001,41314.81128400001
41401.000184000004,41228.62238400001,41314.81128400001
41401.000184000004,41228.62238400001,41314.81128400001
41401.000184000004,41228.62238400001,41314.81128400001
41401.000184000004,41228.62238400001,41314.81128400001
41401.000184000004,41228.62238400001,41314.81128400001
41401.000184000004,41228.62238400001,41314.81128400001
41401.000184000004,41175.911288,41288.455736
41401.000184000004,41175.911288,41288.455736
41401.000184000004,41175.911288,41288.455736
41401.000184000004,41175.911288,41288.455736
41401.000184000004,41175.911288,41288.455736
41401.000184000004,41175.911288,41288.455736
41401.000184000004,41175.911288,41288.455736
41401.000184000004,41015.71128,41208.355732
41367.68904800001,41015.71128,41191.70016400001
41367.68904800001,41015.71128,41191.70016400001
41367.68904800001,41015.71128,41191.70016400001
41367.68904800001,40845.311272000006,41106.50016000001
41367.68904800001,40845.311272000006,41106.50016000001
41367.68904800001,40845.311272000006,41106.50016000001
41367.68904800001,40845.311272000006,41106.50016000001
41367.68904800001,40692.37794400001,41030.033496000004
41367.68904800001,40683.57794400001,41025.63349600001
41367.68904800001,40683.57794400001,41025.63349600001
41316.62236000001,40683.57794400001,41000.10015200001
41316.62236000001,40683.57794400001,41000.10015200001
41316.62236000001,40683.57794400001,41000.10015200001
41316.62236000001,40683.57794400001,41000.10015200001
41316.62236000001,40683.57794400001,41000.10015200001
41316.62236000001,40683.57794400001,41000.10015200001
41316.62236000001,40683.57794400001,41000.10015200001
41316.62236000001,40683.57794400001,41000.10015200001
41316.62236000001,40683.57794400001,41000.10015200001
41316.62236000001,40683.57794400001,41000.10015200001
41316.62236000001,40683.57794400001,41000.10015200001
41316.62236000001,40683.57794400001,41000.10015200001
41316.62236000001,40683.57794400001,41000.10015200001
41316.62236000001,40683.57794400001,41000.10015200001
41316.62236000001,40683.57794400001,41000.10015200001
41316.62236000001,40683.57794400001,41000.10015200001
41316.62236000001,40683.57794400001,41000.10015200001
41316.62236000001,40683.57794400001,41000.10015200001
41316.62236000001,40683.57794400001,41000.10015200001
41316.62236000001,40683.57794400001,41000.10015200001
41140.889024000004,40683.57794400001,40912.23348400001
41140.889024000004,40471.60016000001,40806.244592
41140.889024000004,40471.60016000001,40806.244592
41094.644568,40471.60016000001,40783.12236400001
41094.644568,40471.60016000001,40783.12236400001
41094.644568,40471.60016000001,40783.12236400001
41094.644568,40471.60016000001,40783.12236400001
41094.644568,40471.60016000001,40783.12236400001
41094.644568,40471.60016000001,40783.12236400001
41094.644568,40471.60016000001,40783.12236400001
41094.644568,40471.60016000001,40783.12236400001
41094.644568,40471.60016000001,40783.12236400001
41094.644568,40471.60016000001,40783.12236400001
41094.644568,40471.60016000001,40783.12236400001
41094.644568,40471.60016000001,40783.12236400001
41094.644568,40471.60016000001,40783.12236400001
41094.644568,40347.044592000006,40720.844580000004
41094.644568,40347.044592000006,40720.844580000004
41094.644568,40347.044592000006,40720.844580000004
41094.644568,40347.044592000006,40720.844580000004
41094.644568,40347.044592000006,40720.844580000004
41049.80012,40347.044592000006,40698.422356
40943.000136,40347.044592000006,40645.022364000004
40919.644592000004,40347.044592000006,40633.34459200001
40919.644592000004,40347.044592000006,40633.34459200001
40919.644592000004,40347.044592000006,40633.34459200001
40919.644592000004,40347.044592000006,40633.34459200001
40918.88904,40347.044592000006,40632.966816
40918.88904,40347.044592000006,40632.966816
40918.88904,40347.044592000006,40632.966816
40862.755704,40347.044592000006,40604.900148
40862.755704,40347.044592000006,40604.900148
40862.755704,40347.044592000006,40604.900148
40862.755704,40347.044592000006,40604.900148
40862.755704,40347.044592000006,40604.900148
40862.755704,40347.044592000006,40604.900148
40862.755704,40347.044592000006,40604.900148
40862.755704,40347.044592000006,40604.900148
40862.755704,40347.044592000006,40604.900148
40862.755704,40347.044592000006,40604.900148
40862.755704,40347.044592000006,40604.900148
40862.755704,40347.044592000006,40604.900148
40862.755704,40347.044592000006,40604.900148
40862.755704,40347.044592000006,40604.900148
40862.755704,40347.044592000006,40604.900148
40862.755704,40347.044592000006,40604.900148
40862.755704,40347.044592000006,40604.900148
40862.755704,40347.044592000006,40604.900148
40862.755704,40347.044592000006,40604.900148
40862.755704,40347.044592000006,40604.900148
40862.755704,40347.044592000006,40604.900148
40862.755704,40347.044592000006,40604.900148
40862.755704,40347.044592000006,40604.900148
40862.755704,40347.044592000006,40604.900148
40786.8446,40347.044592000006,40566.944596
40786.8446,40347.044592000006,40566.944596
40786.8446,40347.044592000006,40566.944596
40786.8446,40347.044592000006,40566.944596
40786.8446,40347.044592000006,40566.944596
40786.8446,40347.044592000006,40566.944596
40786.8446,40347.044592000006,40566.944596
40786.8446,40347.044592000006,40566.944596
40786.8446,40347.044592000006,40566.944596
40786.8446,40347.044592000006,40566.944596
40786.8446,40347.044592000006,40566.944596
40786.8446,40347.044592000006,40566.944596
40786.8446,40347.044592000006,40566.944596
40786.8446,40347.044592000006,40566.944596
40786.8446,40347.044592000006,40566.944596
40786.8446,40347.044592000006,40566.944596
40786.8446,40347.044592000006,40566.944596
40776.68904800001,40347.044592000006,40561.86682000001
40776.68904800001,40347.044592000006,40561.86682000001
40776.68904800001,40347.044592000006,40561.86682000001
40776.68904800001,40347.044592000006,40561.86682000001
40776.68904800001,40347.044592000006,40561.86682000001
40776.68904800001,40347.044592000006,40561.86682000001
40776.68904800001,40347.044592000006,40561.86682000001
40776.68904800001,40347.044592000006,40561.86682000001
40776.68904800001,40347.044592000006,40561.86682000001
40776.68904800001,40347.044592000006,40561.86682000001
40776.68904800001,40347.044592000006,40561.86682000001
40776.68904800001,40347.044592000006,40561.86682000001
40776.68904800001,40347.044592000006,40561.86682000001
40776.68904800001,40347.044592000006,40561.86682000001
40776.68904800001,40347.044592000006,40561.86682000001
40776.68904800001,40347.044592000006,40561.86682000001
40776.68904800001,40347.044592000006,40561.86682000001
40776.68904800001,40347.044592000006,40561.86682000001
40704.266824000006,40347.044592000006,40525.655708000006
40704.266824000006,40347.044592000006,40525.655708000006
40704.266824000006,40347.044592000006,40525.655708000006
40704.266824000006,40218.711264000005,40461.489044
40704.266824000006,40218.711264000005,40461.489044
40704.266824000006,40218.711264000005,40461.489044
40704.266824000006,40218.711264000005,40461.489044
40704.266824000006,40218.711264000005,40461.489044
40704.266824000006,40178.60016000001,40441.43349200001
40704.266824000006,40178.60016000001,40441.43349200001
40704.266824000006,40178.60016000001,40441.43349200001
40704.266824000006,40178.60016000001,40441.43349200001
40704.266824000006,40178.60016000001,40441.43349200001
40673.15573600001,40108.155728000005,40390.65573200001
40673.15573600001,40108.155728000005,40390.65573200001
40673.15573600001,40108.155728000005,40390.65573200001
40673.15573600001,40108.155728000005,40390.65573200001
40673.15573600001,40108.155728000005,40390.65573200001
40673.15573600001,40108.155728000005,40390.65573200001
40673.15573600001,40108.155728000005,40390.65573200001
40673.15573600001,40108.155728000005,40390.65573200001
40673.15573600001,40108.155728000005,40390.65573200001
40673.15573600001,40108.155728000005,40390.65573200001
40673.15573600001,40108.155728000005,40390.65573200001
40673.15573600001,40108.155728000005,40390.65573200001
40673.15573600001,40108.155728000005,40390.65573200001
40673.15573600001,40108.155728000005,40390.65573200001
40673.15573600001,40108.155728000005,40390.65573200001
40673.15573600001,40108.155728000005,40390.65573200001
40673.15573600001,40028.733496,40350.94461600001
40673.15573600001,40028.733496,40350.94461600001
40634.11132,40028.733496,40331.422408
40634.11132,40028.733496,40331.422408
40634.11132,40028.733496,40331.422408
40634.11132,40028.733496,40331.422408
40634.11132,40008.777928,40321.444624
40634.11132,40008.777928,40321.444624
40634.11132,40008.777928,40321.444624
40544.48908800001,40008.777928,40276.633508000006
40544.48908800001,40008.777928,40276.633508000006
40544.48908800001,40008.777928,40276.633508000006
40544.48908800001,39965.73348,40255.111284000006
40544.48908800001,39965.73348,40255.111284000006
40544.48908800001,39965.73348,40255.111284000006
40409.37797600001,39965.73348,40187.55572800001
40409.37797600001,39965.73348,40187.55572800001
40409.37797600001,39965.73348,40187.55572800001
40409.37797600001,39965.73348,40187.55572800001
40409.37797600001,39965.73348,40187.55572800001
40409.37797600001,39965.73348,40187.55572800001
40409.37797600001,39965.73348,40187.55572800001
40409.37797600001,39965.73348,40187.55572800001
40409.37797600001,39965.73348,40187.55572800001
40409.37797600001,39965.73348,40187.55572800001
40409.37797600001,39965.73348,40187.55572800001
40322.97797600001,39965.73348,40144.35572800001
40322.97797600001,39965.73348,40144.35572800001
40322.97797600001,39905.755712,40114.366844000004
