../results/wi29_exp_rank_swap2-01.csv,../results/wi29_exp_rank_swap2-02.csv,avg
45241.11128000001,45353.48904000001,45297.30016000001
45241.11128000001,45349.91128000001,45295.511280000006
44918.17794400001,45337.84460000001,45128.01127200001
44918.17794400001,45337.84460000001,45128.01127200001
44918.17794400001,45126.133464,45022.155704000004
44691.88904000001,45126.133464,44909.011252000004
44669.933472000004,45126.133464,44898.033468
44599.200136000014,45126.133464,44862.666800000006
44599.200136000014,45092.91124000001,44846.05568800001
44568.53346400001,45092.91124000001,44830.72235200001
44568.53346400001,45092.91124000001,44830.72235200001
44568.53346400001,44962.66680000001,44765.60013200001
44568.53346400001,44737.68902400001,44653.11124400001
44568.53346400001,44526.37792000001,44547.45569200001
44568.53346400001,44526.37792000001,44547.45569200001
44568.53346400001,44380.066816000006,44474.30014000001
44515.44458400001,44243.777936000006,44379.611260000005
44477.40014400001,44233.733488000005,44355.566816000006
44460.73345600001,44019.60015200001,44240.16680400001
44460.73345600001,44019.60015200001,44240.16680400001
44460.73345600001,44019.60015200001,44240.16680400001
44460.73345600001,44019.60015200001,44240.16680400001
44460.73345600001,44019.60015200001,44240.16680400001
44460.73345600001,43889.17792,44174.955688
44377.044576000015,43889.17792,44133.11124800001
44353.733472000014,43889.17792,44121.455696000005
44353.733472000014,43889.17792,44121.455696000005
44353.733472000014,43889.17792,44121.455696000005
44309.53347200002,43889.17792,44099.35569600001
44272.622360000016,43830.844584000006,44051.73347200001
44272.622360000016,43830.844584000006,44051.73347200001
44213.800144000015,43830.844584000006,44022.32236400001
44013.33348000002,43830.844584000006,43922.08903200002
44013.33348000002,43830.844584000006,43922.08903200002
44013.33348000002,43830.844584000006,43922.08903200002
44013.33348000002,43775.35569600001,43894.34458800002
44013.33348000002,43775.35569600001,43894.34458800002
43921.33346400001,43775.35569600001,43848.34458000001
43921.33346400001,43775.35569600001,43848.34458000001
43800.53349600001,43685.06680000001,43742.80014800001
43800.53349600001,43685.06680000001,43742.80014800001
43800.53349600001,43685.06680000001,43742.80014800001
43730.60016000001,43685.06680000001,43707.83348000001
43730.60016000001,43685.06680000001,43707.83348000001
43730.60016000001,43685.06680000001,43707.83348000001
43716.37794400001,43685.06680000001,43700.722372000004
43501.422376,43685.06680000001,43593.244588
43426.20016000001,43613.689016000004,43519.944588000006
43426.20016000001,43613.689016000004,43519.944588000006
43426.20016000001,43613.689016000004,43519.944588000006
43426.20016000001,43613.689016000004,43519.944588000006
43426.20016000001,43479.75567200001,43452.977916
43426.20016000001,43421.08900800001,43423.64458400001
43426.20016000001,43421.08900800001,43423.64458400001
43426.20016000001,43421.08900800001,43423.64458400001
43426.20016000001,43120.066792,43273.133476
43426.20016000001,43120.066792,43273.133476
43426.20016000001,43120.066792,43273.133476
43426.20016000001,43120.066792,43273.133476
43426.20016000001,43120.066792,43273.133476
43426.20016000001,43120.066792,43273.133476
43426.20016000001,43087.73345600001,43256.96680800001
43426.20016000001,43051.133448,43238.66680400001
43426.20016000001,43051.133448,43238.66680400001
43426.20016000001,43051.133448,43238.66680400001
43426.20016000001,43051.133448,43238.66680400001
43426.20016000001,43051.133448,43238.66680400001
43426.20016000001,43051.133448,43238.66680400001
43426.20016000001,43051.133448,43238.66680400001
43218.64460000001,42935.266792,43076.955696000005
43218.64460000001,42935.266792,43076.955696000005
43218.64460000001,42844.444568,43031.544584
43218.64460000001,42844.444568,43031.544584
43218.64460000001,42844.444568,43031.544584
43218.64460000001,42606.311224,42912.477912
43218.64460000001,42606.311224,42912.477912
43218.64460000001,42606.311224,42912.477912
43218.64460000001,42606.311224,42912.477912
43218.64460000001,42606.311224,42912.477912
43218.64460000001,42606.311224,42912.477912
43218.64460000001,42606.311224,42912.477912
43033.933480000014,42606.311224,42820.122352000006
43033.933480000014,42606.311224,42820.122352000006
43033.933480000014,42606.311224,42820.122352000006
43033.933480000014,42478.066792,42756.000136
43033.933480000014,42478.066792,42756.000136
43033.933480000014,42478.066792,42756.000136
43033.933480000014,42478.066792,42756.000136
43033.933480000014,42478.066792,42756.000136
43033.933480000014,42478.066792,42756.000136
43033.933480000014,42478.066792,42756.000136
43033.933480000014,42478.066792,42756.000136
43033.933480000014,42478.066792,42756.000136
42955.933472000004,42448.066784,42702.000128
42955.933472000004,42448.066784,42702.000128
42899.82235200001,42448.066784,42673.944568000006
42899.82235200001,42448.066784,42673.944568000006
42899.82235200001,42448.066784,42673.944568000006
42899.82235200001,42448.066784,42673.944568000006
42766.66678400001,42448.066784,42607.366784000005
42766.66678400001,42448.066784,42607.366784000005
42766.66678400001,42448.066784,42607.366784000005
42766.66678400001,42448.066784,42607.366784000005
42766.66678400001,42448.066784,42607.366784000005
42758.82233600001,42448.066784,42603.44456
42698.889,42448.066784,42573.477892
42698.889,42448.066784,42573.477892
42698.889,42437.066776,42567.977888
42671.28899200001,42437.066776,42554.177884000004
