../results/wi29_reverse-2-01.csv,../results/wi29_reverse-2-02.csv,avg
47754.066832,48662.066928000015,48208.066880000006
47754.066832,48662.066928000015,48208.066880000006
47670.066832,48662.066928000015,48166.066880000006
47670.066832,48585.08917600001,48127.578004
47661.57795199999,48585.08917600001,48123.333564
47661.57795199999,48565.244712000014,48113.411332
47628.533504,48565.244712000014,48096.889108
47535.044616,48565.244712000014,48050.14466400001
47418.17796,48565.244712000014,47991.71133600001
47308.2224,48538.33359200001,47923.277996000004
47126.88906400001,48538.33359200001,47832.61132800001
47126.88906400001,48538.33359200001,47832.61132800001
47126.88906400001,48538.33359200001,47832.61132800001
47126.88906400001,48428.422496000014,47777.655780000016
47126.88906400001,48396.71138400002,47761.80022400001
46935.444616,48361.97804800001,47648.711332000006
46876.400168000015,48361.97804800001,47619.18910800001
46876.400168000015,48307.13359200002,47591.76688000002
46800.46684,48307.13359200002,47553.80021600001
46751.666864000006,48307.13359200002,47529.40022800001
46643.044632000005,48307.13359200002,47475.089112000016
46643.044632000005,48307.13359200002,47475.089112000016
46528.37796800001,48307.13359200002,47417.755780000014
46467.155744,48307.13359200002,47387.14466800001
46467.155744,48307.13359200002,47387.14466800001
46467.155744,48307.13359200002,47387.14466800001
46467.155744,48054.71136800001,47260.933556
46463.889072000005,48053.26692000001,47258.57799600001
46413.33352,48053.26692000001,47233.300220000005
46413.33352,48053.26692000001,47233.300220000005
46413.33352,48053.26692000001,47233.300220000005
46413.33352,48017.82247200001,47215.57799600001
46413.33352,47922.666912000015,47168.00021600001
46288.2224,47922.666912000015,47105.44465600001
46269.57795200001,47922.666912000015,47096.12243200001
46168.822400000005,47910.20023200002,47039.51131600001
46102.155736,47910.20023200002,47006.17798400001
46030.155736,47773.35577600001,46901.755756000006
46030.155736,47773.35577600001,46901.755756000006
46030.155736,47773.35577600001,46901.755756000006
46030.155736,47773.35577600001,46901.755756000006
46003.266824000006,47713.555768000006,46858.411296000006
46003.266824000006,47713.555768000006,46858.411296000006
46003.266824000006,47713.555768000006,46858.411296000006
45878.31127200002,47713.555768000006,46795.93352000001
45826.244600000005,47674.51132800001,46750.37796400001
45826.244600000005,47593.15578400001,46709.700192000004
45826.244600000005,47593.15578400001,46709.700192000004
45826.244600000005,47574.866888000004,46700.555744000005
45826.244600000005,47574.866888000004,46700.555744000005
45661.533488000015,47574.866888000004,46618.20018800001
45661.533488000015,47574.866888000004,46618.20018800001
45661.533488000015,47517.60022400001,46589.56685600001
45661.533488000015,47517.60022400001,46589.56685600001
45661.533488000015,47376.08910400001,46518.811296000014
45661.533488000015,47342.111328000006,46501.82240800001
45661.533488000015,47342.111328000006,46501.82240800001
45602.60015200001,47342.111328000006,46472.35574000001
45602.60015200001,47342.111328000006,46472.35574000001
45602.60015200001,47342.111328000006,46472.35574000001
45602.60015200001,47310.37799200001,46456.48907200001
45602.60015200001,47310.37799200001,46456.48907200001
45602.60015200001,47310.37799200001,46456.48907200001
45602.60015200001,47310.37799200001,46456.48907200001
45602.60015200001,47193.46688,46398.03351600001
45602.60015200001,47193.46688,46398.03351600001
45602.60015200001,47050.80021600002,46326.700184000016
45602.60015200001,46978.80021600002,46290.700184000016
45602.60015200001,46978.80021600002,46290.700184000016
45602.60015200001,46812.20022400002,46207.400188000014
45556.37792000001,46812.20022400002,46184.289072000014
45556.37792000001,46735.35576800001,46145.86684400001
45556.37792000001,46555.35576800001,46055.86684400001
45545.22236800001,46555.35576800001,46050.28906800001
45545.22236800001,46555.35576800001,46050.28906800001
45498.911248000004,46555.35576800001,46027.133508000006
45498.911248000004,46555.35576800001,46027.133508000006
45496.24458400001,46555.35576800001,46025.800176000004
45496.24458400001,46555.35576800001,46025.800176000004
45496.24458400001,46555.35576800001,46025.800176000004
45496.24458400001,46555.35576800001,46025.800176000004
45395.244592,46555.35576800001,45975.300180000006
45395.244592,46555.35576800001,45975.300180000006
45395.244592,46555.35576800001,45975.300180000006
45395.244592,46555.35576800001,45975.300180000006
45395.244592,46555.35576800001,45975.300180000006
45304.97792000001,46555.35576800001,45930.16684400001
45304.97792000001,46463.42245600001,45884.20018800001
45304.97792000001,46463.42245600001,45884.20018800001
45304.97792000001,46398.889120000014,45851.93352000001
45270.31124800001,46398.889120000014,45834.60018400001
45270.31124800001,46282.889120000014,45776.60018400001
45255.37792000001,46282.889120000014,45769.13352000002
45255.37792000001,46282.889120000014,45769.13352000002
45255.37792000001,46235.35580000001,45745.36686000001
45113.35569600001,46235.35580000001,45674.355748000016
